block_end_step,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining
21599,1,0.00000000,0.95794775,95.79477546,0.00347062,0.01170315,-0.00823253,1,0,0,0,0,1,0,0,0
21699,1,0.00000000,0.96654394,96.65439416,0.00277649,0.01158612,-0.00880962,1,0,0,0,0,1,0,0,0
21799,1,0.00023941,0.97648949,97.64894949,0.00226908,0.01147265,-0.00920357,1,0,0,0,0,1,0,0,0
21899,1,0.00000000,0.96970802,96.97080183,0.00181526,0.01135792,-0.00954266,1,0,0,0,0,1,0,0,0
21999,1,0.00000000,0.96420409,96.42040939,0.00145221,0.01124434,-0.00979213,1,0,0,0,0,1,0,0,0
22099,1,0.00003685,0.94884294,94.88429401,0.00116914,0.01113227,-0.00996313,1,0,0,0,0,1,0,0,0
22199,1,0.00215733,0.97337361,97.33736146,0.00136678,0.01104252,-0.00967574,1,0,0,0,0,1,0,0,0
22299,1,0.01200958,0.95967096,95.96709614,0.00349534,0.01105219,-0.00755685,1,0,0,0,0,1,0,0,0
22399,1,0.00449274,0.93548335,93.54833487,0.00369482,0.01098660,-0.00729178,1,0,0,0,0,1,0,0,0
22499,1,0.00033703,0.94936560,94.93655995,0.00302326,0.01088010,-0.00785684,1,0,0,0,0,1,0,0,0
22599,1,0.00000000,0.95078756,95.07875607,0.00241861,0.01077130,-0.00835269,1,0,0,0,0,1,0,0,0
22699,1,0.00121205,0.94440832,94.44083171,0.00217730,0.01067571,-0.00849841,1,0,0,0,0,1,0,0,0
22799,1,0.00000000,0.96007734,96.00773401,0.00174184,0.01056895,-0.00882711,1,0,0,0,0,1,0,0,0
22899,1,0.00000000,0.95497281,95.49728146,0.00139347,0.01046326,-0.00906979,1,0,0,0,0,1,0,0,0
22999,1,0.00000000,0.97369581,97.36958101,0.00111478,0.01035863,-0.00924385,1,0,0,0,0,1,0,0,0
23099,1,0.00245200,0.93449010,93.44900992,0.00138222,0.01027956,-0.00889734,1,0,0,0,0,1,0,0,0
23199,1,0.05218691,0.87957915,87.95791483,0.01154316,0.01069864,0.00084452,1,0,0,0,0,1,0,0,0
23299,1,0.02526066,0.96577756,96.57775591,0.01428666,0.01084426,0.00344240,1,0,0,0,0,1,0,0,0
23399,1,0.01794777,0.98016071,98.01607100,0.01501888,0.01091529,0.00410359,1,0,0,0,0,1,0,0,0
23499,1,0.00050801,0.96782024,96.78202390,0.01211671,0.01081122,0.00130549,1,0,0,0,0,1,0,0,0
23599,1,0.00064341,0.97074521,97.07452110,0.00982205,0.01070954,-0.00088749,1,0,0,0,0,1,0,0,0
23699,1,0.00000000,0.97217709,97.21770896,0.00785764,0.01060244,-0.00274481,1,0,0,0,0,1,0,0,0
23799,1,0.00042941,0.97676833,97.67683297,0.00637199,0.01050071,-0.00412872,1,0,0,0,0,1,0,0,0
23899,1,0.00000000,0.97955462,97.95546206,0.00509759,0.01039571,-0.00529811,1,0,0,0,0,1,0,0,0
23999,1,0.00000000,0.99410430,99.41042961,0.00407808,0.01029175,-0.00621367,1,0,0,0,0,1,0,0,0
24099,1,0.00000000,0.97676735,97.67673542,0.00326246,0.01018883,-0.00692637,1,0,0,0,0,1,0,0,0
24199,1,0.00030245,0.96331796,96.33179633,0.00267046,0.01008997,-0.00741951,1,0,0,0,0,1,0,0,0
24299,1,0.00000000,0.98464335,98.46433503,0.00213637,0.00998907,-0.00785270,1,0,0,0,0,1,0,0,0
24399,1,0.00000000,0.98626873,98.62687258,0.00170909,0.00988918,-0.00818009,1,0,0,0,0,1,0,0,0
24499,1,0.00000000,0.97737497,97.73749688,0.00136727,0.00979029,-0.00842301,1,0,0,0,0,1,0,0,0
24599,1,0.00069882,0.96756095,96.75609457,0.00123358,0.00969937,-0.00846579,1,0,0,0,0,1,0,0,0
24699,1,0.00000000,0.96812360,96.81236027,0.00098687,0.00960238,-0.00861551,1,0,0,0,0,1,0,0,0
24799,1,0.00106499,0.97805287,97.80528742,0.00100249,0.00951700,-0.00851451,1,0,0,0,0,1,0,0,0
24899,1,0.00000000,0.97425284,97.42528392,0.00080199,0.00942183,-0.00861984,1,0,0,0,0,1,0,0,0
24999,1,0.00000000,0.96650186,96.65018590,0.00064159,0.00932762,-0.00868602,1,0,0,0,0,1,0,0,0
25099,1,0.00000000,0.96943528,96.94352760,0.00051328,0.00923434,-0.00872106,1,0,0,0,0,1,0,0,0
25199,1,0.00000000,0.97590521,97.59052141,0.00041062,0.00914200,-0.00873138,1,0,0,0,0,1,0,0,0
25299,1,0.00000000,0.97946848,97.94684761,0.00032850,0.00905058,-0.00872208,1,0,0,0,0,1,0,0,0
25399,1,0.00000000,0.97887429,97.88742946,0.00026280,0.00896007,-0.00869727,1,0,0,0,0,1,0,0,0
25499,1,0.00000000,0.97588094,97.58809414,0.00021024,0.00887047,-0.00866023,1,0,0,0,0,1,0,0,0
25599,1,0.00000000,0.97565844,97.56584377,0.00016819,0.00878177,-0.00861358,1,0,0,0,0,1,0,0,0
25699,1,0.00000000,0.98878850,98.87885030,0.00013455,0.00869395,-0.00855940,1,0,0,0,0,1,0,0,0
25799,1,0.00000000,0.96752499,96.75249924,0.00010764,0.00860701,-0.00849937,1,0,0,0,0,1,0,0,0
25899,1,0.00000000,0.97437273,97.43727319,0.00008611,0.00852094,-0.00843482,1,0,0,0,0,1,0,0,0
25999,1,0.00000000,0.93717378,93.71737821,0.00006889,0.00843573,-0.00836684,1,0,0,0,0,1,0,0,0
26099,1,0.00000000,0.97056550,97.05654973,0.00005511,0.00835137,-0.00829626,1,0,0,0,0,1,0,0,0
26199,1,0.00010897,0.95662131,95.66213109,0.00006588,0.00826895,-0.00820306,1,0,0,0,0,1,0,0,0
26299,1,0.00354377,0.98119899,98.11989864,0.00076146,0.00822170,-0.00746023,1,0,0,0,0,1,0,0,0
26399,1,0.00000000,0.98411556,98.41155619,0.00060917,0.00813948,-0.00753031,1,0,0,0,0,1,0,0,0
26499,1,0.00000000,0.97802493,97.80249301,0.00048734,0.00805808,-0.00757075,1,0,0,0,0,1,0,0,0
26599,1,0.00000000,0.96623332,96.62333180,0.00038987,0.00797750,-0.00758763,1,0,0,0,0,1,0,0,0
26699,1,0.00000000,0.98119090,98.11909036,0.00031189,0.00789773,-0.00758583,1,0,0,0,0,1,0,0,0
26799,1,0.00000000,0.97572292,97.57229186,0.00024952,0.00781875,-0.00756923,1,0,0,0,0,1,0,0,0
26899,1,0.00000000,0.98293647,98.29364697,0.00019961,0.00774056,-0.00754095,1,0,0,0,0,1,0,0,0
