step,fast_slow_gap,fast_wins,gap_evidence,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining,predictor_lr,active_slow_ema,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
8000,0.00000000,0,0.00000000,0,0.00000000,0,1999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1999,-73.05868530,-73.05868530,1.17914140,1.17914140,0.00455098,0.00455098,75.55507151
8100,0.00000000,0,0.00000000,0,0.00000000,0,1899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1899,-26.33443832,-26.33443832,15.52273750,15.52273750,0.05877453,0.05877453,26.57466650
8200,0.00000000,0,0.00000000,0,0.00000000,0,1799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1799,-25.23816681,-25.23816681,49.41574478,49.41574478,0.29394564,0.29394564,37.75118351
8300,0.00000000,0,0.00000000,0,0.00000000,0,1699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1699,-21.33678436,-21.33678436,17.26653290,17.26653290,0.08545241,0.08545241,21.61152331
8400,0.00000000,0,0.00000000,0,0.00000000,0,1599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1599,-23.47888565,-23.47888565,27.92955589,27.92955589,0.09194160,0.09194160,23.18772554
8500,0.00000000,0,0.00000000,0,0.00000000,0,1499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1499,-24.31320953,-24.31320953,45.02374649,45.02374649,0.18430978,0.18430978,27.36234919
8600,0.00000000,0,0.00000000,0,0.00000000,0,1399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1399,-24.99081993,-24.99081993,17.18410301,17.18410301,0.07380560,0.07380560,25.05251455
8700,0.00000000,0,0.00000000,0,0.00000000,0,1299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1299,-25.77158737,-25.77158737,9.16561031,9.16561031,0.04878929,0.04878929,26.34940290
8800,0.00000000,0,0.00000000,0,0.00000000,0,1199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1199,-21.26478195,-21.26478195,19.27448273,19.27448273,0.10730892,0.10730892,21.34543419
8900,0.00000000,0,0.00000000,0,0.00000000,0,1099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,1099,-22.56627083,-22.56627083,41.46247864,41.46247864,0.10037415,0.10037415,23.92621422
9000,0.00000000,0,0.00000000,0,0.00000000,0,999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,999,-43.17250061,-43.17250061,1.10229754,1.10229754,0.00202781,0.00202781,43.82784271
9100,0.00000000,0,0.00000000,0,0.00000000,0,899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,899,-23.81388283,-23.81388283,25.61985016,25.61985016,0.08488970,0.08488970,24.36259222
9200,0.00000000,0,0.00000000,0,0.00000000,0,799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,799,-26.29848862,-26.29848862,7.36917686,7.36917686,0.03549907,0.03549907,25.97150326
9300,0.00000000,0,0.00000000,0,0.00000000,0,699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,699,-35.91971207,-35.91971207,25.35589027,25.35589027,0.13621777,0.13621777,38.16194248
9400,0.00000000,0,0.00000000,0,0.00000000,0,599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,599,-24.87935066,-24.87935066,24.88264656,24.88264656,0.08448435,0.08448435,24.97634983
9500,0.00000000,0,0.00000000,0,0.00000000,0,499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,499,-22.70859718,-22.70859718,40.05534363,40.05534363,0.11374584,0.11374584,23.33099747
9600,0.00000000,0,0.00000000,0,0.00000000,0,399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,399,-22.37786102,-22.37786102,42.77833939,42.77833939,0.12093119,0.12093119,22.52577782
9700,0.00000000,0,0.00000000,0,0.00000000,0,299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,299,-23.61784172,-23.61784172,48.78121567,48.78121567,0.11985564,0.11985564,27.67801793
9800,0.00000000,0,0.00000000,0,0.00000000,0,199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,199,-27.44944572,-27.44944572,47.85256577,47.85256577,0.15250403,0.15250403,28.95239639
9900,0.00000000,0,0.00000000,0,0.00000000,0,99,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,0,0.00010000,0.00000000,99,-24.20566368,-24.20566368,25.14897919,25.14897919,0.12031296,0.12031296,24.03305244
