step=1177202, D_t=151.376158, c_t=3.899494, e_P=0.491949, e_R=0.396925, e_P_bar=6.913109, e_R_bar=15.967506
step=1180486, D_t=41.612354, c_t=3.313039, e_P=0.403635, e_R=0.219186, e_P_bar=5.141634, e_R_bar=7.535802
step=1182774, D_t=72.881831, c_t=3.675327, e_P=0.332807, e_R=0.238913, e_P_bar=4.096540, e_R_bar=11.357025
step=1189017, D_t=178.373343, c_t=3.655238, e_P=1.013638, e_R=0.035552, e_P_bar=18.881122, e_R_bar=0.499917
step=1190509, D_t=111.887310, c_t=3.326328, e_P=0.595258, e_R=0.436600, e_P_bar=6.367267, e_R_bar=13.536341
step=1194028, D_t=12.340815, c_t=3.050839, e_P=0.389513, e_R=0.022445, e_P_bar=4.968061, e_R_bar=-0.056552
step=1195406, D_t=47.507781, c_t=3.076986, e_P=0.314550, e_R=0.251948, e_P_bar=3.296289, e_R_bar=9.173333
step=1197360, D_t=27.158243, c_t=3.044569, e_P=0.262068, e_R=0.218204, e_P_bar=2.361580, e_R_bar=6.981363
step=1200815, D_t=24.565743, c_t=3.051264, e_P=0.189258, e_R=0.266139, e_P_bar=1.099621, e_R_bar=6.922595
step=1202988, D_t=141.298058, c_t=3.725888, e_P=0.340632, e_R=0.373873, e_P_bar=4.271063, e_R_bar=16.258971
step=1205344, D_t=119.154078, c_t=3.972701, e_P=0.272867, e_R=0.377861, e_P_bar=2.492861, e_R_bar=15.234625
step=1210861, D_t=40.561922, c_t=3.031526, e_P=0.590713, e_R=0.093812, e_P_bar=8.607268, e_R_bar=2.653072
step=1213331, D_t=15.987770, c_t=3.071967, e_P=0.137122, e_R=0.214068, e_P_bar=0.533798, e_R_bar=5.629441
step=1215018, D_t=22.024388, c_t=3.112114, e_P=0.201276, e_R=0.123890, e_P_bar=2.575198, e_R_bar=6.116954
step=1222811, D_t=23.861963, c_t=3.055246, e_P=0.138210, e_R=0.185652, e_P_bar=1.008252, e_R_bar=6.834278
step=1223996, D_t=25.041267, c_t=3.170374, e_P=0.252193, e_R=0.181591, e_P_bar=2.058090, e_R_bar=6.771027
step=1226730, D_t=105.274561, c_t=3.256212, e_P=0.707397, e_R=0.159954, e_P_bar=12.691132, e_R_bar=7.034507
step=1227860, D_t=42.183892, c_t=3.171697, e_P=0.796358, e_R=0.097561, e_P_bar=8.957916, e_R_bar=2.030649
step=1229453, D_t=108.587715, c_t=3.508127, e_P=0.710490, e_R=0.323904, e_P_bar=8.887875, e_R_bar=11.755046
step=1233482, D_t=88.362213, c_t=3.460776, e_P=0.890793, e_R=0.157867, e_P_bar=12.364731, e_R_bar=4.882402
step=1237658, D_t=35.896036, c_t=3.049574, e_P=0.547927, e_R=0.044499, e_P_bar=8.424572, e_R_bar=0.904795
step=1241050, D_t=37.971637, c_t=3.297368, e_P=0.584591, e_R=0.133634, e_P_bar=7.648716, e_R_bar=4.176173
step=1242794, D_t=105.748862, c_t=3.785786, e_P=0.935735, e_R=0.280218, e_P_bar=11.763253, e_R_bar=8.551234
step=1245985, D_t=19.198517, c_t=3.001240, e_P=0.222656, e_R=0.275216, e_P_bar=1.177163, e_R_bar=6.083693
step=1250672, D_t=43.732693, c_t=3.109673, e_P=0.113846, e_R=0.306410, e_P_bar=0.283980, e_R_bar=9.347981
