step,fast_slow_gap,fast_wins,bernoulli_llr,cusum_W,detector_active,regime_change,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
6900,0.00000000,0,0.00000000,0.00000000,0,0,-22.74580574,-22.74580574,25.70089912,25.70089912,0.07705286,0.07705286,3099,0,22.65856028
7000,0.00000000,0,0.00000000,0.00000000,0,0,-55.33358002,-55.33358002,1.14447379,1.14447379,0.00414219,0.00414219,2999,0,55.48107910
7100,0.00000000,0,0.00000000,0.00000000,0,0,-29.44667053,-29.44667053,35.44622421,35.44622421,0.21007839,0.21007839,2899,0,31.26579158
7200,0.00000000,0,0.00000000,0.00000000,0,0,-25.89640236,-25.89640236,47.13315201,47.13315201,0.18142724,0.18142724,2799,0,nan
7300,0.00000000,0,0.00000000,0.00000000,0,0,-23.69444466,-23.69444466,48.11170197,48.11170197,0.18502033,0.18502033,2699,0,23.85321554
7400,0.00000000,0,0.00000000,0.00000000,0,0,-22.71670151,-22.71670151,49.81661224,49.81661224,0.22589439,0.22589439,2599,0,26.70700979
7500,0.00000000,0,0.00000000,0.00000000,0,0,-25.07378769,-25.07378769,42.35407639,42.35407639,0.15910369,0.15910369,2499,0,25.86785841
7600,0.00000000,0,0.00000000,0.00000000,0,0,-25.44142532,-25.44142532,43.80458832,43.80458832,0.18116185,0.18116185,2399,0,26.41972961
7700,0.00000000,0,0.00000000,0.00000000,0,0,-24.62150002,-24.62150002,29.99460793,29.99460793,0.12047342,0.12047342,2299,0,nan
7800,0.00000000,0,0.00000000,0.00000000,0,0,-24.54168701,-24.54168701,33.48589325,33.48589325,0.16593677,0.16593677,2199,0,23.68195629
7900,0.00000000,0,0.00000000,0.00000000,0,0,-23.05067444,-23.05067444,34.71633530,34.71633530,0.17846076,0.17846076,2099,0,23.45045614
8000,0.00000000,0,0.00000000,0.00000000,0,0,-73.05868530,-73.05868530,1.17914140,1.17914140,0.00455098,0.00455098,1999,0,75.55507151
8100,0.00000000,0,0.00000000,0.00000000,0,0,-26.33443832,-26.33443832,15.52273750,15.52273750,0.05877453,0.05877453,1899,0,26.57466650
8200,0.00000000,0,0.00000000,0.00000000,0,0,-25.23816681,-25.23816681,49.41574478,49.41574478,0.29394564,0.29394564,1799,0,37.75118351
8300,0.00000000,0,0.00000000,0.00000000,0,0,-21.33678436,-21.33678436,17.26653290,17.26653290,0.08545241,0.08545241,1699,0,21.61152331
8400,0.00000000,0,0.00000000,0.00000000,0,0,-23.47888565,-23.47888565,27.92955589,27.92955589,0.09194160,0.09194160,1599,0,23.18772554
8500,0.00000000,0,0.00000000,0.00000000,0,0,-24.31320953,-24.31320953,45.02374649,45.02374649,0.18430978,0.18430978,1499,0,27.36234919
8600,0.00000000,0,0.00000000,0.00000000,0,0,-24.99081993,-24.99081993,17.18410301,17.18410301,0.07380560,0.07380560,1399,0,25.05251455
8700,0.00000000,0,0.00000000,0.00000000,0,0,-25.77158737,-25.77158737,9.16561031,9.16561031,0.04878929,0.04878929,1299,0,26.34940290
8800,0.00000000,0,0.00000000,0.00000000,0,0,-21.26478195,-21.26478195,19.27448273,19.27448273,0.10730892,0.10730892,1199,0,21.34543419
8900,0.00000000,0,0.00000000,0.00000000,0,0,-22.56627083,-22.56627083,41.46247864,41.46247864,0.10037415,0.10037415,1099,0,23.92621422
9000,0.00000000,0,0.00000000,0.00000000,0,0,-43.17250061,-43.17250061,1.10229754,1.10229754,0.00202781,0.00202781,999,0,43.82784271
9100,0.00000000,0,0.00000000,0.00000000,0,0,-23.81388283,-23.81388283,25.61985016,25.61985016,0.08488970,0.08488970,899,0,24.36259222
9200,0.00000000,0,0.00000000,0.00000000,0,0,-26.29848862,-26.29848862,7.36917686,7.36917686,0.03549907,0.03549907,799,0,25.97150326
9300,0.00000000,0,0.00000000,0.00000000,0,0,-35.91971207,-35.91971207,25.35589027,25.35589027,0.13621777,0.13621777,699,0,38.16194248
9400,0.00000000,0,0.00000000,0.00000000,0,0,-24.87935066,-24.87935066,24.88264656,24.88264656,0.08448435,0.08448435,599,0,24.97634983
9500,0.00000000,0,0.00000000,0.00000000,0,0,-22.70859718,-22.70859718,40.05534363,40.05534363,0.11374584,0.11374584,499,0,23.33099747
9600,0.00000000,0,0.00000000,0.00000000,0,0,-22.37786102,-22.37786102,42.77833939,42.77833939,0.12093119,0.12093119,399,0,22.52577782
9700,0.00000000,0,0.00000000,0.00000000,0,0,-23.61784172,-23.61784172,48.78121567,48.78121567,0.11985564,0.11985564,299,0,27.67801793
9800,0.00000000,0,0.00000000,0.00000000,0,0,-27.44944572,-27.44944572,47.85256577,47.85256577,0.15250403,0.15250403,199,0,28.95239639
9900,0.00000000,0,0.00000000,0.00000000,0,0,-24.20566368,-24.20566368,25.14897919,25.14897919,0.12031296,0.12031296,99,0,24.03305244
10000,0.00000000,0,-0.51082562,0.00000000,1,0,-41.35081482,-41.35081482,1.11167204,1.11167204,0.00236377,0.00236377,0,0,42.45619583
10100,1.75239182,1,0.33647224,30.61897353,1,0,-26.55788040,-28.31027222,14.19107533,12.76288986,0.08028081,0.08900891,0,0,27.08274269
10200,1.28939438,1,0.33647224,62.57160147,1,0,-24.17138672,-25.46078110,14.04534149,12.56500435,0.06230157,0.06174585,0,0,24.73993874
10300,0.11924362,1,0.33647224,95.37152728,1,0,-25.23674011,-25.35598373,26.63292503,21.81558609,0.06784263,0.06684038,0,0,25.72560946
10400,1.98748589,1,0.33647224,63.77681569,1,0,-27.10895157,-29.09643745,49.29931641,47.95905304,0.10899772,0.10054109,0,0,35.38037443
10500,0.69239235,1,0.33647224,50.82265703,1,0,-28.21143913,-28.90383148,10.94148254,9.55250168,0.03989489,0.03886086,0,0,28.64431877
10600,1.20482445,1,0.33647224,38.71579623,1,0,-21.93986130,-23.14468575,49.85780334,48.97225571,0.19768423,0.19194661,0,0,24.16625118
10700,-0.36733437,0,-0.51082562,46.94408408,1,0,-23.55924797,-23.19191360,48.81784439,46.71697998,0.17590454,0.17745505,0,0,26.15995932
10800,0.16557884,1,0.33647224,43.31020189,1,0,-25.00926590,-25.17484474,36.82356262,36.08671570,0.09172956,0.09627891,0,0,25.41727867
10900,-0.05807686,0,-0.51082562,54.08038332,1,0,-23.09188080,-23.03380394,32.03608704,31.58286476,0.07239817,0.06622788,0,0,23.29352570
11000,0.46465302,1,0.33647224,68.23975619,1,0,-66.74640656,-67.21105957,1.15117657,1.14901459,0.00251214,0.00258161,0,0,67.17015533
11100,1.79011345,1,0.33647224,90.02480981,1,0,-27.59775925,-29.38787270,33.06069946,31.72633934,0.15814008,0.16757458,0,0,30.78375244
11200,0.00000000,0,0.00000000,0.00000000,0,0,-28.44928741,-28.44928741,46.81445694,46.81445694,0.15600076,0.15600076,0,930,32.11682653
11300,0.00000000,0,0.00000000,0.00000000,0,0,-22.05031013,-22.05031013,22.00507736,22.00507736,0.05017165,0.05017165,0,830,22.02056694
11400,0.00000000,0,0.00000000,0.00000000,0,0,-21.96815872,-21.96815872,33.00600815,33.00600815,0.11218116,0.11218116,0,730,22.51878452
11500,0.00000000,0,0.00000000,0.00000000,0,0,-22.16540337,-22.16540337,43.27587509,43.27587509,0.10211592,0.10211592,0,630,22.98579216
11600,0.00000000,0,0.00000000,0.00000000,0,0,-23.80317879,-23.80317879,15.14175606,15.14175606,0.07196387,0.07196387,0,530,23.78029680
11700,0.00000000,0,0.00000000,0.00000000,0,0,-23.17054367,-23.17054367,23.58192253,23.58192253,0.07132328,0.07132328,0,430,23.37384033
11800,0.00000000,0,0.00000000,0.00000000,0,0,-22.75936317,-22.75936317,41.26615906,41.26615906,0.09892069,0.09892069,0,330,23.71226788
11900,0.00000000,0,0.00000000,0.00000000,0,0,-21.36794472,-21.36794472,32.83710098,32.83710098,0.10441963,0.10441963,0,230,21.54506874
12000,0.00000000,0,0.00000000,0.00000000,0,0,-48.73460770,-48.73460770,1.14079118,1.14079118,0.00214175,0.00214175,0,130,48.49111843
12100,0.00000000,0,0.00000000,0.00000000,0,0,-19.71107101,-19.71107101,33.63825226,33.63825226,0.10636552,0.10636552,0,30,19.47537549
12200,0.36954117,1,0.33647224,5.42332926,1,0,-20.56986618,-20.93940735,34.83930969,35.19553757,0.07553182,0.07608320,0,0,20.67946672
12300,0.48598862,1,0.33647224,26.36108502,1,0,-19.82827759,-20.31426620,35.73596954,37.98870468,0.09572806,0.09799082,0,0,20.97125435
12400,0.66754532,1,0.33647224,48.14613863,1,0,-19.66056061,-20.32810593,19.12502098,21.02185059,0.08042387,0.08243151,0,0,20.19471359
12500,0.37011528,1,0.33647224,61.45821364,1,0,-20.64585495,-21.01597023,15.44192123,17.12414360,0.04284708,0.04059076,0,0,20.51009560
12600,0.47661972,1,0.33647224,85.78516084,1,0,-21.21049118,-21.68711090,21.56761932,24.65172958,0.06752287,0.06378860,0,0,21.43298798
12700,0.00000000,0,0.00000000,0.00000000,0,0,-20.18898201,-20.18898201,15.95963573,15.95963573,0.06173458,0.06173458,0,948,20.11660449
12800,0.00000000,0,0.00000000,0.00000000,0,0,-20.05187416,-20.05187416,34.53771973,34.53771973,0.09927016,0.09927016,0,848,21.84829617
12900,0.00000000,0,0.00000000,0.00000000,0,0,-20.34532166,-20.34532166,34.07589722,34.07589722,0.09171268,0.09171268,0,748,22.28810215
13000,0.00000000,0,0.00000000,0.00000000,0,0,-51.62842941,-51.62842941,1.13232899,1.13232899,0.00349740,0.00349740,0,648,51.91179504
13100,0.00000000,0,0.00000000,0.00000000,0,0,-25.14605713,-25.14605713,6.45323038,6.45323038,0.06890077,0.06890077,0,548,25.87377214
13200,0.00000000,0,0.00000000,0.00000000,0,0,-23.69915962,-23.69915962,9.26198387,9.26198387,0.04100396,0.04100396,0,448,23.85332251
13300,0.00000000,0,0.00000000,0.00000000,0,0,-23.40274048,-23.40274048,22.58682823,22.58682823,0.10542771,0.10542771,0,348,24.40911436
13400,0.00000000,0,0.00000000,0.00000000,0,0,-24.46092224,-24.46092224,47.28210068,47.28210068,0.19486201,0.19486201,0,248,31.49771754
13500,0.00000000,0,0.00000000,0.00000000,0,0,-19.61308670,-19.61308670,39.19001770,39.19001770,0.09218191,0.09218191,0,148,23.98457432
13600,0.00000000,0,0.00000000,0.00000000,0,0,-19.92143440,-19.92143440,16.13134956,16.13134956,0.07255317,0.07255317,0,48,18.45193481
13700,0.02276993,1,0.33647224,8.21298345,1,0,-19.69158173,-19.71435165,38.53831482,38.94908905,0.08936130,0.09088536,0,0,20.63578161
13800,0.11917114,1,0.33647224,7.96829270,1,0,-22.09764862,-22.21681976,6.60408592,6.92548370,0.02029719,0.02107900,0,0,22.30549240
13900,1.48548508,1,0.33647224,27.21145274,1,0,-18.27230072,-19.75778580,31.32699585,34.45427704,0.06090499,0.06276818,0,0,18.32066917
14000,0.04082298,1,0.33647224,50.69110207,1,0,-30.50482368,-30.54564667,1.10414088,1.12951744,0.00329168,0.00347757,0,0,30.67666054
14100,1.03191948,1,0.33647224,62.30858136,1,0,-28.39818954,-29.43010902,26.78579903,26.19171524,0.17243613,0.16651569,0,0,30.75668716
14200,1.88481903,1,0.33647224,50.20172057,1,0,-23.77033806,-25.65515709,40.47550583,38.40892029,0.12164322,0.12514970,0,0,26.51027807
14300,-1.07490921,0,-0.51082562,45.72054051,1,0,-20.18450546,-19.10959625,31.31938744,33.27326202,0.09378689,0.09129491,0,0,22.12197367
14400,0.40293312,1,0.33647224,48.86504120,1,0,-20.47719765,-20.88013077,25.31842041,26.53955460,0.07083642,0.07410315,0,0,21.29389763
14500,0.87817192,1,0.33647224,60.48252049,1,0,-21.27958488,-22.15775681,17.62068367,20.33683205,0.04878494,0.04785682,0,0,21.77575684
14600,0.18114853,1,0.33647224,88.19865913,1,0,-18.77818298,-18.95933151,16.05821991,18.84500313,0.06937000,0.06627206,0,0,18.72294998
14700,0.00000000,0,0.00000000,0.00000000,0,0,-20.35046196,-20.35046196,9.33974266,9.33974266,0.04699794,0.04699794,0,966,19.57602882
14800,0.00000000,0,0.00000000,0.00000000,0,0,-17.99035645,-17.99035645,9.53826523,9.53826523,0.04258367,0.04258367,0,866,18.91025352
14900,0.00000000,0,0.00000000,0.00000000,0,0,-16.30477905,-16.30477905,20.63857269,20.63857269,0.07198767,0.07198767,0,766,16.91584015
15000,0.00000000,0,0.00000000,0.00000000,0,0,-56.69194031,-56.69194031,1.13419998,1.13419998,0.00303929,0.00303929,0,666,58.16483116
15100,0.00000000,0,0.00000000,0.00000000,0,0,-23.20893860,-23.20893860,21.56059074,21.56059074,0.09932692,0.09932692,0,566,24.61426544
15200,0.00000000,0,0.00000000,0.00000000,0,0,-21.79232597,-21.79232597,6.74228859,6.74228859,0.05320084,0.05320084,0,466,22.03504848
15300,0.00000000,0,0.00000000,0.00000000,0,0,-21.46688271,-21.46688271,11.81813431,11.81813431,0.08502017,0.08502017,0,366,22.24563599
15400,0.00000000,0,0.00000000,0.00000000,0,0,-25.43400955,-25.43400955,10.78046894,10.78046894,0.07695843,0.07695843,0,266,26.11593819
15500,0.00000000,0,0.00000000,0.00000000,0,0,-24.46803284,-24.46803284,13.72042847,13.72042847,0.05513763,0.05513763,0,166,25.56520557
15600,0.00000000,0,0.00000000,0.00000000,0,0,-20.82772446,-20.82772446,24.20177460,24.20177460,0.06745370,0.06745370,0,66,22.02336836
15700,0.17403603,1,0.33647224,11.10358381,1,0,-23.00574112,-23.17977715,3.62408876,3.58915591,0.01819639,0.01829395,0,0,22.86070490
15800,0.70758820,1,0.33647224,38.81972245,1,0,-21.02040482,-21.72799301,21.09529686,20.49017906,0.07483751,0.07736434,0,0,21.90350024
15900,0.54219818,1,0.33647224,69.07775467,1,0,-17.64295578,-18.18515396,6.74608088,6.25113678,0.02618303,0.02905073,0,0,17.66867113
16000,1.54875183,1,0.33647224,93.40470187,1,0,-76.92984772,-78.47859955,1.29639244,1.28702378,0.00499127,0.00482451,0,0,78.49591573
16100,2.17254257,1,0.33647224,78.75594749,1,0,-17.38375664,-19.55629921,18.88056755,17.39231682,0.03024349,0.02592319,0,0,17.27374840
16200,0.00000000,0,0.00000000,0.00000000,0,0,-18.59462547,-18.59462547,35.87510681,35.87510681,0.09330696,0.09330696,0,964,19.79360962
16300,0.00000000,0,0.00000000,0.00000000,0,0,-18.01940918,-18.01940918,22.01786613,22.01786613,0.06536751,0.06536751,0,864,18.35537434
16400,0.00000000,0,0.00000000,0.00000000,0,0,-19.57197762,-19.57197762,8.72265530,8.72265530,0.03102766,0.03102766,0,764,19.68330669
16500,0.00000000,0,0.00000000,0.00000000,0,0,-18.82259369,-18.82259369,6.61564302,6.61564302,0.03371398,0.03371398,0,664,19.39033000
16600,0.00000000,0,0.00000000,0.00000000,0,0,-18.86191177,-18.86191177,17.62378693,17.62378693,0.07818738,0.07818738,0,564,18.99356842
16700,0.00000000,0,0.00000000,0.00000000,0,0,-16.26258469,-16.26258469,14.79527092,14.79527092,0.05654985,0.05654985,0,464,16.09298539
16800,0.00000000,0,0.00000000,0.00000000,0,0,-17.42833900,-17.42833900,22.01926422,22.01926422,0.05471832,0.05471832,0,364,17.71662521
16900,0.00000000,0,0.00000000,0.00000000,0,0,-16.26782990,-16.26782990,38.28919220,38.28919220,0.13378778,0.13378778,0,264,18.88508368
17000,0.00000000,0,0.00000000,0.00000000,0,0,-38.29734039,-38.29734039,1.17435467,1.17435467,0.00450469,0.00450469,0,164,38.47581100
17100,0.00000000,0,0.00000000,0.00000000,0,0,-16.28780556,-16.28780556,5.73314190,5.73314190,0.02917629,0.02917629,0,64,16.07773399
17200,0.08570099,1,0.33647224,7.54003898,1,0,-24.24691772,-24.33261871,2.78650832,2.73611736,0.02493509,0.02517565,0,0,24.12280607
17300,-0.71511841,0,-0.51082562,25.93590115,1,0,-19.01189613,-18.29677773,23.47816277,20.92020226,0.09075410,0.08717447,0,0,19.03252745
17400,0.88123322,1,0.33647224,25.69121040,1,0,-16.73478127,-17.61601448,18.58701897,15.36413574,0.04709206,0.05362184,0,0,16.35835552
17500,1.26057816,1,0.33647224,58.49113620,1,0,-17.01906013,-18.27963829,26.33739471,25.40768623,0.05946694,0.05724151,0,0,18.71401072
17600,1.16416550,1,0.33647224,85.35997698,1,0,-16.05125046,-17.21541595,20.18263435,21.43389511,0.05885798,0.05860645,0,0,16.79913998
17700,0.00000000,0,0.00000000,0.00000000,0,0,-14.59247971,-14.59247971,6.96023130,6.96023130,0.03995981,0.03995981,0,954,14.81139851
17800,0.00000000,0,0.00000000,0.00000000,0,0,-17.97618484,-17.97618484,15.59886646,15.59886646,0.05207404,0.05207404,0,854,19.64444160
17900,0.00000000,0,0.00000000,0.00000000,0,0,-17.25962448,-17.25962448,28.43759155,28.43759155,0.13141899,0.13141899,0,754,18.52585602
