step,fast_slow_gap,fast_wins,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,warmup_remaining,predictor_nll
9400,-0.68580627,0,-24.87935066,-24.19354439,24.88264656,22.06478119,0.08448435,0.09007902,599,24.97634983
9500,0.05569267,1,-22.70859718,-22.76428986,40.05534363,38.60856628,0.11374584,0.12785196,499,23.33099747
9600,0.70753288,1,-22.37786102,-23.08539391,42.77833939,43.25577545,0.12093119,0.13409819,399,22.52577782
9700,-1.76862335,0,-23.61784172,-21.84921837,48.78121567,49.53255081,0.11985564,0.12553906,299,27.67801793
9800,-0.31441116,0,-27.44944572,-27.13503456,47.85256577,48.29371643,0.15250403,0.16323540,199,28.95239639
9900,0.90614891,1,-24.20566368,-25.11181259,25.14897919,26.77485657,0.12031296,0.12623984,99,24.03305244
10000,0.06648636,1,-41.35081482,-41.41730118,1.11167204,1.11305380,0.00236377,0.00257859,0,42.45619583
10100,0.76682854,1,-26.55788040,-27.32470894,14.19107533,13.32880306,0.08028081,0.09009487,0,27.08274269
10200,1.07390213,1,-24.17138672,-25.24528885,14.04534149,12.90998363,0.06230157,0.06903492,0,24.73993874
10300,0.03258514,1,-25.23674011,-25.26932526,26.63292503,21.88767815,0.06784263,0.06605682,0,25.72560946
10400,-0.03261566,0,-27.10895157,-27.07633591,49.29931641,48.75412369,0.10899772,0.11404141,0,35.38037443
10500,1.40453148,1,-28.21143913,-29.61597061,10.94148254,9.20881748,0.03989489,0.03902260,0,28.64431877
10600,1.09486961,1,-21.93986130,-23.03473091,49.85780334,49.44941711,0.19768423,0.21571213,0,24.16625118
10700,-0.03971672,0,-23.55924797,-23.51953125,48.81784439,48.30369186,0.17590454,0.19915545,0,26.15995932
10800,0.56632805,1,-25.00926590,-25.57559395,36.82356262,35.87153625,0.09172956,0.09677248,0,25.41727867
10900,-0.00603867,0,-23.09188080,-23.08584213,32.03608704,31.95358658,0.07239817,0.07093510,0,23.29352570
11000,0.68428802,1,-66.74640656,-67.43069458,1.15117657,1.14857078,0.00251214,0.00254735,0,67.17015533
11100,1.86055374,1,-27.59775925,-29.45831299,33.06069946,32.08894730,0.15814008,0.16954830,0,30.78375244
11200,-1.54343605,0,-28.44928741,-26.90585136,46.81445694,47.15345764,0.15600076,0.14324942,0,32.11682653
11300,0.80654335,1,-22.05031013,-22.85685349,22.00507736,20.40868568,0.05017165,0.05381357,0,22.02056694
11400,0.19567108,1,-21.96815872,-22.16382980,33.00600815,33.48466110,0.11218116,0.11476962,0,22.51878452
11500,0.55309677,1,-22.16540337,-22.71850014,43.27587509,45.80334091,0.10211592,0.11773977,0,22.98579216
11600,0.44862938,1,-23.80317879,-24.25180817,15.14175606,15.76589489,0.07196387,0.06759129,0,23.78029680
11700,0.57850075,1,-23.17054367,-23.74904442,23.58192253,24.95372772,0.07132328,0.06832966,0,23.37384033
11800,0.78671646,1,-22.75936317,-23.54607964,41.26615906,42.21424866,0.09892069,0.10074086,0,23.71226788
11900,0.97087288,1,-21.36794472,-22.33881760,32.83710098,35.83506393,0.10441963,0.10432066,0,21.54506874
12000,-0.13465118,0,-48.73460770,-48.59995651,1.14079118,1.15993834,0.00214175,0.00190302,0,48.49111843
12100,0.75624847,1,-19.71107101,-20.46731949,33.63825226,37.50984192,0.10636552,0.09310301,0,19.47537549
12200,1.26906967,1,-20.56986618,-21.83893585,34.83930969,37.59601593,0.07553182,0.08298208,0,20.67946672
12300,1.56314850,1,-19.82827759,-21.39142609,35.73596954,39.78400040,0.09572806,0.10393659,0,20.97125435
12400,1.34912109,1,-19.66056061,-21.00968170,19.12502098,22.93152809,0.08042387,0.08170847,0,20.19471359
