step,detector_epoch,phase,transition_surprise,z_score,transition_evidence,valid_local_residual,supported_tables,median_bucket_count,block_completed,block_evidence,block_coverage,num_regions,W_t,log_p_hat,mean_total_var,mean_epistemic_var,predictor_warmup_remaining,residual_calibration_remaining,regime_change,predictor_nll
7900,0,predictor_warmup,0.28522861,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.05067444,34.71633530,0.17846076,2099,0,0,23.45045614
8000,0,predictor_warmup,6.24405575,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-73.05868530,1.17914140,0.00455098,1999,0,0,75.55507151
8100,0,predictor_warmup,0.74358928,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.33443832,15.52273750,0.05877453,1899,0,0,26.57466650
8200,0,predictor_warmup,0.46313614,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.23816681,49.41574478,0.29394564,1799,0,0,37.75118351
8300,0,predictor_warmup,0.19368225,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.33678436,17.26653290,0.08545241,1699,0,0,21.61152331
8400,0,predictor_warmup,0.41233587,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.47888565,27.92955589,0.09194160,1599,0,0,23.18772554
8500,0,predictor_warmup,0.43161672,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.31320953,45.02374649,0.18430978,1499,0,0,27.36234919
8600,0,predictor_warmup,0.67426026,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.99081993,17.18410301,0.07380560,1399,0,0,25.05251455
8700,0,predictor_warmup,0.84016746,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.77158737,9.16561031,0.04878929,1299,0,0,26.34940290
8800,0,predictor_warmup,0.32346743,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.26478195,19.27448273,0.10730892,1199,0,0,21.34543419
8900,0,predictor_warmup,0.33785799,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.56627083,41.46247864,0.10037415,1099,0,0,23.92621422
9000,0,predictor_warmup,2.94914961,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-43.17250061,1.10229754,0.00202781,999,0,0,43.82784271
9100,0,predictor_warmup,0.38991782,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.81388283,25.61985016,0.08488970,899,0,0,24.36259222
9200,0,predictor_warmup,0.86989456,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.29848862,7.36917686,0.03549907,799,0,0,25.97150326
9300,0,predictor_warmup,1.63182342,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-35.91971207,25.35589027,0.13621777,699,0,0,38.16194248
9400,0,predictor_warmup,0.50733209,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.87935066,24.88264656,0.08448435,599,0,0,24.97634983
9500,0,predictor_warmup,0.19101900,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.70859718,40.05534363,0.11374584,499,0,0,23.33099747
9600,0,predictor_warmup,0.21990395,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.37786102,42.77833939,0.12093119,399,0,0,22.52577782
9700,0,predictor_warmup,0.42536759,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.61784172,48.78121567,0.11985564,299,0,0,27.67801793
9800,0,predictor_warmup,0.86773062,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.44944572,47.85256577,0.15250403,199,0,0,28.95239639
9900,0,predictor_warmup,0.56953323,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.20566368,25.14897919,0.12031296,99,0,0,24.03305244
10000,0,residual_calibration,2.74113894,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-41.35081482,1.11167204,0.00236377,0,9999,0,nan
10100,0,residual_calibration,0.99354225,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.43278694,12.69340134,0.08959314,0,9899,0,nan
10200,0,residual_calibration,0.71333951,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.73892021,12.41180325,0.06198752,0,9799,0,nan
10300,0,residual_calibration,0.73627514,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.61191940,21.22195053,0.06730065,0,9699,0,nan
10400,0,residual_calibration,1.42235029,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-31.31081200,47.22024155,0.10320047,0,9599,0,nan
10500,0,residual_calibration,1.19225335,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.75772095,9.05003643,0.03887356,0,9499,0,nan
10600,0,residual_calibration,0.44604021,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.61360931,47.36706924,0.18845433,0,9399,0,nan
10700,0,residual_calibration,0.50263333,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.80789948,44.22864151,0.17873938,0,9299,0,nan
10800,0,residual_calibration,0.61915416,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.11523438,33.98542404,0.10069087,0,9199,0,nan
10900,0,residual_calibration,0.42205232,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.02134132,30.09831429,0.06647960,0,9099,0,nan
11000,0,residual_calibration,5.78504848,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-68.75967407,1.13011765,0.00261638,0,8999,0,nan
11100,0,residual_calibration,1.25328124,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-30.73858643,29.60620117,0.17495462,0,8899,0,nan
11200,0,residual_calibration,0.72142822,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.43084335,44.21368408,0.13313562,0,8799,0,nan
11300,0,residual_calibration,0.36432114,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.47584534,17.86005020,0.06080441,0,8699,0,nan
11400,0,residual_calibration,0.27861384,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.97575188,30.73535538,0.12334081,0,8599,0,nan
11500,0,residual_calibration,0.31817609,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.57438850,44.23207092,0.13497263,0,8499,0,nan
11600,0,residual_calibration,0.62625921,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.48027420,13.63240433,0.07106905,0,8399,0,nan
11700,0,residual_calibration,0.59205502,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.35606003,21.31823349,0.07147386,0,8299,0,nan
11800,0,residual_calibration,0.40566167,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.66682434,40.15301514,0.11466447,0,8199,0,nan
11900,0,residual_calibration,0.38769826,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.10594368,32.31871033,0.10961330,0,8099,0,nan
12000,0,residual_calibration,3.61582398,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-49.28221893,1.14445639,0.00163187,0,7999,0,nan
12100,0,residual_calibration,0.20032102,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.10338974,36.63323212,0.10128640,0,7899,0,nan
12200,0,residual_calibration,0.33974668,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.97131920,37.39027023,0.09971748,0,7799,0,nan
12300,0,residual_calibration,0.18079907,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-20.39214706,39.45940781,0.13051647,0,7699,0,nan
12400,0,residual_calibration,0.31664118,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.04075241,21.30622673,0.08935039,0,7599,0,nan
12500,0,residual_calibration,0.38008255,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.42992401,19.36786270,0.03239153,0,7499,0,nan
12600,0,residual_calibration,0.47618586,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.78572845,25.45264053,0.07280651,0,7399,0,nan
12700,0,residual_calibration,0.58988297,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.98711205,18.81055832,0.06667480,0,7299,0,nan
12800,0,residual_calibration,0.37840286,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.41904831,40.13807678,0.07700268,0,7199,0,nan
12900,0,residual_calibration,0.42003632,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.00157928,41.66685104,0.07993518,0,7099,0,nan
13000,0,residual_calibration,3.87714601,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-51.57350540,1.18984711,0.00293019,0,6999,0,nan
13100,0,residual_calibration,0.84062195,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.37132263,8.79309940,0.06885833,0,6899,0,nan
13200,0,residual_calibration,0.88274366,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.35540962,9.99183846,0.04792105,0,6799,0,nan
13300,0,residual_calibration,0.66809982,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.12692451,24.55926132,0.07971839,0,6699,0,nan
13400,0,residual_calibration,0.50808519,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.67091370,48.45847702,0.15636459,0,6599,0,nan
13500,0,residual_calibration,0.26696903,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-20.91931534,34.99477386,0.08302011,0,6499,0,nan
13600,0,residual_calibration,0.36920333,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.19153404,15.27878284,0.06782238,0,6399,0,nan
13700,0,residual_calibration,0.38988182,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.40049744,39.06518555,0.08628133,0,6299,0,nan
13800,0,residual_calibration,0.95107567,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-26.33779526,5.69231224,0.02168294,0,6199,0,nan
13900,0,residual_calibration,0.39004856,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.10654449,35.25292969,0.07293855,0,6099,0,nan
14000,0,residual_calibration,1.68345678,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-31.78248978,1.13389456,0.00261483,0,5999,0,nan
14100,0,residual_calibration,1.22548068,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-31.13253975,30.64076805,0.14071202,0,5899,0,nan
14200,0,residual_calibration,0.94096118,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.04469109,39.43455124,0.13818814,0,5799,0,nan
14300,0,residual_calibration,0.13794446,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.07783699,37.44512177,0.10171505,0,5699,0,nan
