step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,gradient_coherence,gradient_novelty,predictor_nll
8300,1.23609674,1.23609674,0,0.00000000,0.00000000,nan,0.00000000,0,1699,0,17.40537834,0.08087439,0.14626186,0.85373814,30.41090012
8400,0.86453927,0.86453927,0,0.00000000,0.00000000,nan,0.00000000,0,1599,0,30.19001198,0.08147867,0.05573832,0.94426168,28.53028965
8500,0.18766986,0.18766986,0,0.00000000,0.00000000,nan,0.00000000,0,1499,0,29.98699188,0.09275548,0.13878766,0.86121234,19.27779961
8600,0.17774922,0.17774922,0,0.00000000,0.00000000,nan,0.00000000,0,1399,0,18.03567696,0.10085252,0.21562413,0.78437587,20.12495728
8700,0.37071407,0.37071407,0,0.00000000,0.00000000,nan,0.00000000,0,1299,0,13.58096695,0.05837455,0.13508763,0.86491237,20.68937445
8800,1.00187254,1.00187254,0,0.00000000,0.00000000,nan,0.00000000,0,1199,0,18.88109207,0.06662300,0.01855235,0.98144765,28.21028042
8900,0.37539616,0.37539616,0,0.00000000,0.00000000,nan,0.00000000,0,1099,0,28.64268684,0.12349105,0.16781519,0.83218481,22.23937941
9000,7.33950472,7.33950472,0,0.00000000,0.00000000,nan,0.00000000,0,999,0,1.13167787,0.00361316,0.16880666,0.83119334,83.60420990
9100,0.75316417,0.75316417,0,0.00000000,0.00000000,nan,0.00000000,0,899,0,6.51000786,0.06224091,0.08980084,0.91019916,25.26156807
9200,0.75676680,0.75676680,0,0.00000000,0.00000000,nan,0.00000000,0,799,0,9.37126160,0.06413277,-0.17901475,1.17901475,26.35455751
9300,0.29898083,0.29898083,0,0.00000000,0.00000000,nan,0.00000000,0,699,0,41.68933868,0.14165425,-0.09765208,1.09765208,24.39706182
9400,0.46535152,0.46535152,0,0.00000000,0.00000000,nan,0.00000000,0,599,0,12.44443989,0.06679282,-0.12942804,1.12942804,21.42363930
9500,0.37946904,0.37946904,0,0.00000000,0.00000000,nan,0.00000000,0,499,0,20.80735207,0.06608727,0.21963488,0.78036512,21.75478427
9600,0.29183599,0.29183599,0,0.00000000,0.00000000,nan,0.00000000,0,399,0,45.62758636,0.14166103,-0.03594912,1.03594912,20.46442795
9700,0.87530035,0.87530035,0,0.00000000,0.00000000,nan,0.00000000,0,299,0,28.24793625,0.06621553,0.03939381,0.96060619,nan
9800,0.24059139,0.24059139,0,0.00000000,0.00000000,nan,0.00000000,0,199,0,11.49203873,0.03942279,0.22857479,0.77142521,19.82721901
9900,0.49339527,0.49339527,0,0.00000000,0.00000000,nan,0.00000000,0,99,0,36.50724792,0.12436914,-0.07950506,1.07950506,23.68152555
10000,7.76590824,7.76590824,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,1.14137495,0.00353266,0.09602107,0.90397893,89.63114929
10100,0.83668453,0.83668453,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,5.21804237,0.02106980,0.31684209,0.68315791,24.26390076
10200,1.33295643,1.33295643,5,0.39346934,0.03194917,nan,0.00000000,0,0,0,7.31252527,0.04395376,0.25234257,0.74765743,28.81963603
10300,0.68149769,0.68149769,3,0.25918178,0.00307526,nan,0.00000000,0,0,0,11.33803177,0.04583218,0.29375033,0.70624967,24.31275876
10400,0.26633903,0.26633903,4,0.32967995,0.00314634,nan,0.00000000,0,0,0,23.47378540,0.06333672,0.21170292,0.78829708,19.93418630
10500,0.51557595,0.51557595,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,35.71086121,0.13191788,-0.07657927,1.07657927,22.07641411
10600,1.67971456,1.67971456,4,0.32967995,0.01984292,nan,0.00000000,0,0,0,24.65689468,0.05957261,0.10153663,0.89846337,nan
10700,0.15427788,0.15427788,10,0.63212056,0.02463221,nan,0.00000000,0,0,0,26.28016853,0.06519999,0.13606472,0.86393528,17.96149508
10800,0.36796516,0.36796516,2,0.18126925,0.00039729,nan,0.00000000,0,0,0,17.55462265,0.07392970,0.16990625,0.83009375,20.04477882
10900,0.28038689,0.28038689,4,0.32967995,0.00331229,nan,0.00000000,0,0,0,28.52944565,0.09623719,-0.08911152,1.08911152,18.28207143
11000,4.25266504,4.25266504,6,0.45118836,0.17623523,nan,0.00000000,0,0,0,1.10192537,0.00394284,0.00115554,0.99884446,52.81807709
11100,0.69598651,0.69598651,4,0.32967995,0.00822188,nan,0.00000000,0,0,0,4.55431557,0.04386945,0.01734419,0.98265581,21.99111748
11200,0.44944710,0.44944710,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,16.37781143,0.06299865,-0.09011324,1.09011324,21.36888631
11300,1.45966399,1.45966399,2,0.18126925,0.00157598,nan,0.00000000,0,0,0,17.44433594,0.08837312,0.13728065,0.86271935,31.51535924
11400,0.39682996,0.39682996,8,0.55067104,0.03648996,nan,0.00000000,0,0,0,27.05804443,0.15265816,0.23771031,0.76228969,21.72412872
11500,0.51384449,0.51384449,4,0.32967995,0.00607018,nan,0.00000000,0,0,0,34.33287048,0.13189811,-0.04474881,1.04474881,24.78004265
11600,0.40728304,0.40728304,17,0.81731648,0.18174285,nan,0.00000000,0,0,0,15.09386826,0.04159755,0.21607161,0.78392839,21.74734497
11700,0.44584492,0.44584492,10,0.63212056,0.07118418,nan,0.00000000,0,0,0,20.54889107,0.08945718,0.03668503,0.96331497,22.23498917
11800,0.33254337,0.33254337,14,0.75340304,0.10714151,nan,0.00000000,0,0,0,43.60905075,0.09841189,0.05468823,0.94531177,21.48481242
11900,0.15677935,0.15677935,15,0.77686984,0.05710602,nan,0.00000000,0,0,0,31.01013947,0.06864315,0.20382477,0.79617523,17.81809235
12000,4.45518684,4.45518684,18,0.83470111,2.16266818,nan,0.00000000,0,0,0,1.20215642,0.00365956,0.03574242,0.96425758,55.16284561
12100,0.79136628,0.79136628,16,0.79810348,0.32108082,nan,0.00000000,0,0,0,10.43022060,0.04675764,0.03891230,0.96108770,24.08835173
12200,0.81470472,0.81470472,38,0.97762923,0.74421246,nan,0.00000000,0,0,0,17.55260849,0.04255906,-0.21634418,1.21634418,25.67387962
12300,0.25455156,0.25455156,28,0.93918994,0.19805668,nan,0.00000000,0,0,0,9.74167633,0.04621253,0.03704464,0.96295536,18.38076019
12400,1.35590482,1.35590482,11,0.66712892,0.26857666,nan,0.00000000,0,0,0,10.20208359,0.04910135,-0.15208992,1.15208992,29.88815435
12500,0.26789731,0.26789731,29,0.94497678,0.21362540,nan,0.00000000,0,0,0,19.98451042,0.05438940,0.08553636,0.91446364,19.95197105
12600,0.53959662,0.53959662,42,0.98500442,0.50795114,nan,0.00000000,0,0,0,29.20206451,0.06752101,0.07618872,0.92381128,22.92418353
12700,0.25234923,0.25234923,42,0.98500442,0.23754982,nan,0.00000000,0,0,0,28.99422836,0.10197458,-0.05184324,1.05184324,18.88579464
12800,0.32054296,0.32054296,21,0.87754357,0.19009076,nan,0.00000000,0,0,0,29.92618561,0.06992442,-0.01332024,1.01332024,22.00428708
12900,0.18042608,0.18042608,31,0.95495080,0.15004561,nan,0.00000000,0,0,0,12.10018539,0.03949323,0.24983164,0.75016836,16.61951590
13000,3.08841515,3.08841515,12,0.69880579,0.73648117,nan,0.00000000,0,0,0,1.09012246,0.00230986,-0.04932564,1.04932564,43.23996925
13100,1.45030808,1.45030808,4,0.32967995,0.01713288,nan,0.00000000,0,0,0,7.79154778,0.06959145,0.20570004,0.79429996,30.20843951
13200,0.94591725,0.94591725,5,0.39346934,0.02267236,nan,0.00000000,0,0,0,39.80971527,0.13029979,-0.27614277,1.27614277,30.18395615
13300,0.22287872,0.22287872,41,0.98342732,0.20846718,nan,0.00000000,0,0,0,33.64853287,0.06952277,-0.05142911,1.05142911,18.49085045
13400,0.18821891,0.18821891,12,0.69880579,0.04488376,nan,0.00000000,0,0,0,22.41645241,0.05396779,0.11233582,0.88766418,16.80047345
13500,0.29951888,0.29951888,33,0.96311683,0.25771524,nan,0.00000000,0,0,0,31.43181038,0.06994834,0.03659249,0.96340751,19.38235092
13600,0.29157844,0.29157844,47,0.99090472,0.28111434,nan,0.00000000,0,0,0,22.50044250,0.05741096,0.17188085,0.82811915,17.16743946
13700,0.41111118,0.41111118,44,0.98772266,0.39129054,nan,0.00000000,0,0,0,14.97157097,0.03662574,0.03278557,0.96721443,18.18900013
13800,0.77218616,0.77218616,29,0.94497678,0.61575304,nan,0.00000000,0,0,0,15.63967896,0.04809032,0.01456456,0.98543544,21.54587364
13900,0.50074059,0.50074059,97,0.99993872,0.50061785,nan,0.00000000,0,0,0,15.63460827,0.03980468,0.10715978,0.89284022,18.86807585
14000,2.91298842,2.91298842,31,0.95495080,2.42249418,nan,0.00000000,0,0,0,1.11184502,0.00291979,0.05329682,0.94670318,42.65341663
14100,0.45138824,0.45138824,12,0.69880579,0.10764063,nan,0.00000000,0,0,0,14.71662903,0.04470105,-0.23392681,1.23392681,19.47169399
14200,0.80478835,0.80478835,10,0.63212056,0.12849355,nan,0.00000000,0,0,0,12.35992813,0.08375866,0.10370646,0.89629354,23.55796356
14300,0.86563879,0.86563879,61,0.99775713,0.85789883,nan,0.00000000,0,0,0,14.24927425,0.06565454,-0.02205051,1.02205051,24.33546591
14400,0.52547300,0.52547300,42,0.98500442,0.49465582,nan,0.00000000,0,0,0,14.70243645,0.04705821,0.10110367,0.89889633,20.73815982
14500,0.68649870,0.68649870,75,0.99944692,0.68498119,nan,0.00000000,0,0,0,9.52625656,0.02156203,0.18126462,0.81873538,21.70725441
14600,0.63863134,0.63863134,64,0.99833844,0.63439742,nan,0.00000000,0,0,0,37.57221985,0.09589979,-0.16226766,1.16226766,24.10456721
14700,0.25684389,0.25684389,37,0.97527647,0.23237010,nan,0.00000000,0,0,0,17.32306862,0.03300369,0.04251202,0.95748798,16.06855965
14800,0.82197368,0.82197368,47,0.99090472,0.79247488,nan,0.00000000,0,0,0,10.35112953,0.05342149,-0.04410131,1.04410131,21.49235535
14900,0.24210016,0.24210016,114,0.99998880,0.24208932,nan,0.00000000,0,0,0,10.07010746,0.02880927,0.02017752,0.97982248,15.41366100
15000,5.34211254,5.34211254,61,0.99775713,5.29434693,nan,0.00000000,0,0,0,1.18630934,0.00422772,-0.12713740,1.12713740,64.24585114
15100,0.54498452,0.54498452,66,0.99863963,0.54202505,nan,0.35178993,0,0,0,5.74067831,0.05307429,0.11777531,0.88222469,20.68086116
15200,1.88134527,1.88134527,27,0.93279449,1.42433580,nan,0.45878029,0,0,0,3.36865973,0.02809425,0.02558218,0.97441782,32.55383046
15300,0.62380761,0.62380761,75,0.99944692,0.62242868,nan,0.51174624,0,0,0,7.75108767,0.03058705,0.26092814,0.73907186,21.82991886
15400,1.60590470,1.60590470,5,0.39346934,0.03849137,nan,0.68933530,0,0,0,11.61439514,0.04966778,-0.08880583,1.08880583,30.29998779
15500,0.48021126,0.48021126,70,0.99908812,0.47846207,nan,0.64115112,0,0,0,8.62491608,0.04076475,0.21692256,0.78307744,18.46750603
15600,0.42160624,0.42160624,81,0.99969646,0.42109458,nan,0.56396625,0,0,0,23.48670769,0.06979455,-0.00416313,1.00416313,19.12893168
15700,0.28471103,0.28471103,45,0.98889100,0.27226888,nan,0.44346545,0,0,0,26.76522064,0.09514634,0.02061238,0.97938762,18.63730431
15800,0.43204662,0.43204662,1,0.09516258,0.00003543,nan,0.40823825,0,0,0,48.13818359,0.18252766,-0.12652272,1.12652272,30.05104589
15900,0.56234443,0.56234443,114,0.99998880,0.56231925,nan,0.31245613,0,0,0,15.86229134,0.04392571,0.07260427,0.92739573,18.95373774
16000,4.40658236,4.40658236,16,0.79810348,1.78788143,nan,0.24946051,0,0,0,1.26596487,0.00580619,-0.04256346,1.04256346,56.24852753
16100,1.41841555,1.41841555,45,0.98889100,1.35642937,nan,0.42228565,0,0,0,5.36423826,0.04911296,0.20665463,0.79334537,30.23150063
16200,0.66179633,0.66179633,10,0.63212056,0.10566326,nan,0.60467786,0,0,0,48.24681473,0.29873860,0.11156571,0.88843429,40.28192616
16300,0.52250355,0.52250355,67,0.99876909,0.51993568,nan,0.38034357,0,0,0,13.15927982,0.07662711,-0.14087175,1.14087175,19.42585119
16400,0.96252990,0.96252990,83,0.99975148,0.96157343,nan,0.29829849,0,0,0,13.32726955,0.04623397,0.16704196,0.83295804,23.44438553
16500,0.67264092,0.67264092,27,0.93279449,0.50924546,nan,0.21505995,0,0,0,37.85958481,0.13413967,-0.04033593,1.04033593,28.45659892
16600,0.51758546,0.51758546,114,0.99998880,0.51756228,nan,0.09009582,0,0,0,23.50936890,0.07560883,0.06697004,0.93302996,18.82037544
16700,0.33349025,0.33349025,39,0.97975809,0.30729718,nan,0.04574547,0,0,0,14.73477554,0.09759717,-0.17468583,1.17468583,18.49464569
16800,1.19717240,1.19717240,75,0.99944692,1.19452605,nan,0.05721749,0,0,0,16.94933128,0.03319434,0.18142034,0.81857966,25.71810675
16900,0.33266285,0.33266285,7,0.50341470,0.02136524,nan,0.01910671,0,0,0,25.61687469,0.14897260,-0.16161185,1.16161185,17.91532071
17000,1.43733323,1.43733323,67,0.99876909,1.43026936,nan,0.04131050,0,0,0,1.13504303,0.00301898,-0.29209411,1.29209411,28.73498789
17100,2.36263943,2.36263943,26,0.92572642,1.73511428,nan,0.30273982,0,0,0,4.46711731,0.03461615,0.07604498,0.92395502,37.71655560
17200,0.48772097,0.48772097,15,0.77686984,0.17764970,nan,0.46609822,0,0,0,10.55296803,0.06948344,-0.06225038,1.06225038,20.28330231
17300,0.22596166,0.22596166,20,0.86466472,0.12630650,nan,0.56221879,0,0,0,34.96189880,0.19119611,-0.11006352,1.11006352,21.84860929
17400,0.59652972,0.59652972,45,0.98889100,0.57046078,nan,0.56475934,0,0,0,17.63068962,0.03719155,0.06062944,0.93937056,20.98916753
17500,0.21410638,0.21410638,62,0.99797057,0.21237361,nan,0.44820679,0,0,0,23.08649254,0.04429467,-0.11079937,1.11079937,17.07019281
17600,0.44116715,0.44116715,43,0.98643144,0.41770607,nan,0.36440336,0,0,0,13.56652355,0.04134114,0.02150467,0.97849533,18.32729578
17700,0.38383019,0.38383019,31,0.95495080,0.31920017,nan,0.30364610,0,0,0,37.01161194,0.10122485,-0.20472852,1.20472852,20.46621768
17800,0.61852622,0.61852622,11,0.66712892,0.12251723,nan,0.24258089,0,0,0,34.43601608,0.10048756,0.15866490,0.84133510,20.78974851
