step,fast_slow_gap,fast_wins,p0_hat,p1_hat,bernoulli_llr,cusum_W,detector_active,regime_change,p0_update_enabled,initial_warmup_remaining,calibration_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
10800,0.16557884,1,0.66097561,0.86097561,0.00000000,0.00000000,0,0,0,0,9199,-25.00926590,-25.17484474,36.82356262,36.08671570,0.09172956,0.09627891,25.41727867
10900,-0.05807686,0,0.66956522,0.86956522,0.00000000,0.00000000,0,0,0,0,9099,-23.09188080,-23.03380394,32.03608704,31.58286476,0.07239817,0.06622788,23.29352570
11000,0.46465302,1,0.67843137,0.87843137,0.00000000,0.00000000,0,0,0,0,8999,-66.74640656,-67.21105957,1.15117657,1.14901459,0.00251214,0.00258161,67.17015533
11100,1.79011345,1,0.69464286,0.89464286,0.00000000,0.00000000,0,0,0,0,8899,-27.59775925,-29.38787270,33.06069946,31.72633934,0.15814008,0.16757458,30.78375244
11200,-1.97549438,0,0.69918033,0.89918033,0.00000000,0.00000000,0,0,0,0,8799,-28.44928741,-26.47379303,46.81445694,46.33856964,0.15600076,0.13647811,32.11682653
11300,0.56867790,1,0.70303030,0.90303030,0.00000000,0.00000000,0,0,0,0,8699,-22.05031013,-22.61898804,22.00507736,20.40394974,0.05017165,0.05281267,22.02056694
11400,0.08685684,1,0.70140845,0.90140845,0.00000000,0.00000000,0,0,0,0,8599,-21.96815872,-22.05501556,33.00600815,33.14369583,0.11218116,0.11207315,22.51878452
11500,0.22936249,1,0.69736842,0.89736842,0.00000000,0.00000000,0,0,0,0,8499,-22.16540337,-22.39476585,43.27587509,45.65824890,0.10211592,0.11597681,22.98579216
11600,0.27463722,1,0.69753086,0.89753086,0.00000000,0.00000000,0,0,0,0,8399,-23.80317879,-24.07781601,15.14175606,15.66443920,0.07196387,0.06607291,23.78029680
11700,0.43641090,1,0.70988372,0.90988372,0.00000000,0.00000000,0,0,0,0,8299,-23.17054367,-23.60695457,23.58192253,24.80535126,0.07132328,0.06627513,23.37384033
11800,0.60272408,1,0.71868132,0.91868132,0.00000000,0.00000000,0,0,0,0,8199,-22.75936317,-23.36208725,41.26615906,41.90760803,0.09892069,0.09820928,23.71226788
11900,0.90551758,1,0.72500000,0.92500000,0.00000000,0.00000000,0,0,0,0,8099,-21.36794472,-22.27346230,32.83710098,35.51731491,0.10441963,0.10328841,21.54506874
12000,-0.25619125,0,0.73415842,0.93415842,0.00000000,0.00000000,0,0,0,0,7999,-48.73460770,-48.47841644,1.14079118,1.16060805,0.00214175,0.00190133,48.49111843
12100,0.64666176,1,0.72452830,0.92452830,0.00000000,0.00000000,0,0,0,0,7899,-19.71107101,-20.35773277,33.63825226,37.27525711,0.10636552,0.09253867,19.47537549
12200,1.25213623,1,0.73153153,0.93153153,0.00000000,0.00000000,0,0,0,0,7799,-20.56986618,-21.82200241,34.83930969,37.54322815,0.07553182,0.08244088,20.67946672
12300,1.26878357,1,0.73965517,0.93965517,0.00000000,0.00000000,0,0,0,0,7699,-19.82827759,-21.09706116,35.73596954,39.68418884,0.09572806,0.10276158,20.97125435
12400,1.29957199,1,0.74628099,0.94628099,0.00000000,0.00000000,0,0,0,0,7599,-19.66056061,-20.96013260,19.12502098,22.81714821,0.08042387,0.08117706,20.19471359
12500,0.90580750,1,0.75039683,0.95039683,0.00000000,0.00000000,0,0,0,0,7499,-20.64585495,-21.55166245,15.44192123,18.27140045,0.04284708,0.03537656,20.51009560
12600,1.28931427,1,0.75763359,0.95763359,0.00000000,0.00000000,0,0,0,0,7399,-21.21049118,-22.49980545,21.56761932,25.77407074,0.06752287,0.06661823,21.43298798
12700,1.63452911,1,0.76470588,0.96470588,0.00000000,0.00000000,0,0,0,0,7299,-20.18898201,-21.82351112,15.95963573,19.36368942,0.06173458,0.05880161,20.11660449
12800,0.21697998,1,0.76985816,0.96985816,0.00000000,0.00000000,0,0,0,0,7199,-20.05187416,-20.26885414,34.53771973,37.89826584,0.09927016,0.08773302,21.84829617
12900,1.55545044,1,0.77534247,0.97534247,0.00000000,0.00000000,0,0,0,0,7099,-20.34532166,-21.90077209,34.07589722,40.25276566,0.09171268,0.08582465,22.28810215
13000,-1.00148392,0,0.77649007,0.97649007,0.00000000,0.00000000,0,0,0,0,6999,-51.62842941,-50.62694550,1.13232899,1.17768419,0.00349740,0.00340716,51.91179504
13100,0.69412613,1,0.77243590,0.97243590,0.00000000,0.00000000,0,0,0,0,6899,-25.14605713,-25.84018326,6.45323038,7.27107906,0.06890077,0.06836423,25.87377214
13200,2.06855583,1,0.77888199,0.97888199,0.00000000,0.00000000,0,0,0,0,6799,-23.69915962,-25.76771545,9.26198387,8.70930386,0.04100396,0.04135257,23.85332251
13300,1.60543823,1,0.78493976,0.98493976,0.00000000,0.00000000,0,0,0,0,6699,-23.40274048,-25.00817871,22.58682823,20.19237900,0.10542771,0.09128806,24.40911436
13400,-4.65790176,0,0.78713450,0.98713450,0.00000000,0.00000000,0,0,0,0,6599,-24.46092224,-19.80302048,47.28210068,45.55454636,0.19486201,0.15343036,31.49771754
13500,-1.56185532,0,0.77357955,0.97357955,0.00000000,0.00000000,0,0,0,0,6499,-19.61308670,-18.05123138,39.19001770,35.64082718,0.09218191,0.08064054,23.98457432
13600,0.56923485,1,0.76602210,0.96602210,0.00000000,0.00000000,0,0,0,0,6399,-19.92143440,-20.49066925,16.13134956,15.30491447,0.07255317,0.06838734,18.45193481
13700,0.22294617,1,0.76612903,0.96612903,0.00000000,0.00000000,0,0,0,0,6299,-19.69158173,-19.91452789,38.53831482,39.18005371,0.08936130,0.07719132,20.63578161
13800,1.55947304,1,0.76518325,0.96518325,0.00000000,0.00000000,0,0,0,0,6199,-22.09764862,-23.65712166,6.60408592,6.53584766,0.02029719,0.02024077,22.30549240
13900,1.70278549,1,0.76785714,0.96785714,0.00000000,0.00000000,0,0,0,0,6099,-18.27230072,-19.97508621,31.32699585,34.28004456,0.06090499,0.05968365,18.32066917
14000,0.22733307,1,0.77064677,0.97064677,0.00000000,0.00000000,0,0,0,0,5999,-30.50482368,-30.73215675,1.10414088,1.12470531,0.00329168,0.00308087,30.67666054
14100,1.18474579,1,0.76941748,0.96941748,0.00000000,0.00000000,0,0,0,0,5899,-28.39818954,-29.58293533,26.78579903,26.21888924,0.17243613,0.16204649,30.75668716
14200,1.61791611,1,0.76516588,0.96516588,0.00000000,0.00000000,0,0,0,0,5799,-23.77033806,-25.38825417,40.47550583,38.62570572,0.12164322,0.12272452,26.51027807
14300,-0.81123352,0,0.76226852,0.96226852,0.00000000,0.00000000,0,0,0,0,5699,-20.18450546,-19.37327194,31.31938744,33.67732620,0.09378689,0.09051307,22.12197367
14400,0.31603241,1,0.76131222,0.96131222,0.00000000,0.00000000,0,0,0,0,5599,-20.47719765,-20.79323006,25.31842041,26.97604942,0.07083642,0.06953630,21.29389763
14500,0.96597290,1,0.76261062,0.96261062,0.00000000,0.00000000,0,0,0,0,5499,-21.27958488,-22.24555779,17.62068367,20.03957367,0.04878494,0.04402907,21.77575684
14600,0.29131699,1,0.76688312,0.96688312,0.00000000,0.00000000,0,0,0,0,5399,-18.77818298,-19.06949997,16.05821991,18.46139145,0.06937000,0.06342173,18.72294998
14700,0.53710556,1,0.76822034,0.96822034,0.00000000,0.00000000,0,0,0,0,5299,-20.35046196,-20.88756752,9.33974266,10.54176712,0.04699794,0.05120271,19.57602882
14800,1.22690964,1,0.77157676,0.97157676,0.00000000,0.00000000,0,0,0,0,5199,-17.99035645,-19.21726608,9.53826523,10.80569649,0.04258367,0.04163990,18.91025352
