step,bucket_id,bucket_trusted,became_trusted,learning_samples,prediction_error,baseline_error_mean,baseline_error_std,z_score,L_t,W_t,warning,shadow_active,warmup_remaining,regime_change,num_trusted_buckets
9600,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,399,0,0
9700,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,299,0,0
9800,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,199,0,0
9900,-1,0,0,0,nan,nan,nan,nan,0.00000000,0.00000000,0,0,99,0,0
10000,68,0,0,1,0.30245009,0.30245009,0.00000000,nan,0.00000000,0.00000000,0,0,0,0,0
10100,244,0,0,1,0.96837997,0.96837997,0.00000000,nan,0.00000000,0.00000000,0,0,0,0,0
10200,225,0,0,3,0.52553389,1.16138551,0.14879226,nan,0.00000000,0.00000000,0,0,0,0,0
10300,12,0,0,1,0.30084111,0.30084111,0.00000000,nan,0.00000000,0.00000000,0,0,0,0,0
10400,77,0,0,6,0.59597186,1.85536559,0.59090194,nan,0.00000000,0.00000000,0,0,0,0,0
10500,432,0,0,8,0.77451378,0.86960749,0.23204283,nan,0.00000000,0.00000000,0,0,0,0,0
10600,286,0,0,7,0.34766928,0.77297956,0.13789334,nan,0.00000000,0.00000000,0,0,0,0,0
10700,334,0,0,5,0.91713296,1.01846957,0.16914086,nan,0.00000000,0.00000000,0,0,0,0,0
10800,287,0,0,8,0.84130515,1.30175724,0.41784288,nan,0.00000000,0.00000000,0,0,0,0,0
10900,59,0,0,4,0.76545856,0.90879004,0.22714139,nan,0.00000000,0.00000000,0,0,0,0,0
11000,305,0,0,20,0.25584397,0.52496886,0.37366815,nan,0.00000000,0.00000000,0,0,0,0,0
11100,133,0,0,4,0.96843654,0.62455714,0.08635741,nan,0.00000000,0.00000000,0,0,0,0,0
11200,142,0,0,20,0.19100508,0.70022526,0.42457691,nan,0.00000000,0.00000000,0,0,0,0,0
11300,142,0,0,38,0.03548315,0.33962153,0.40011527,nan,0.00000000,0.00000000,0,0,0,0,0
11400,149,0,0,2,0.59920287,0.75228670,0.03511984,nan,0.00000000,0.00000000,0,0,0,0,0
11500,170,0,0,2,0.33593103,2.10375592,0.40556685,nan,0.00000000,0.00000000,0,0,0,0,0
11600,285,0,0,3,0.55629118,0.76553317,0.04867227,nan,0.00000000,0.00000000,0,0,0,0,0
11700,140,0,0,9,1.26949874,0.72680747,0.22897495,nan,0.00000000,0.00000000,0,0,0,0,0
11800,500,0,0,2,0.73357834,0.95732346,0.05133065,nan,0.00000000,0.00000000,0,0,0,0,0
11900,454,0,0,9,0.37436334,0.67896450,0.20555429,nan,0.00000000,0.00000000,0,0,0,0,0
12000,305,0,0,25,0.19788310,0.50651808,0.36586514,nan,0.00000000,0.00000000,0,0,0,0,0
12100,65,0,0,9,0.21995395,0.75598434,0.24750372,nan,0.00000000,0.00000000,0,0,0,0,0
12200,244,0,0,6,0.43310138,0.87620793,0.19971573,nan,0.00000000,0.00000000,0,0,0,0,0
12300,69,0,0,9,0.86746226,1.12411953,0.43776665,nan,0.00000000,0.00000000,0,0,0,0,0
12400,161,0,0,8,0.13028487,0.32842601,0.14763781,nan,0.00000000,0.00000000,0,0,0,0,0
12500,172,0,0,5,0.28483798,0.48350188,0.07643575,nan,0.00000000,0.00000000,0,0,0,0,0
12600,229,0,0,33,0.03730451,0.29879311,0.28039065,nan,0.00000000,0.00000000,0,0,0,0,0
12700,36,0,0,1,0.47279476,0.47279476,0.00000000,nan,0.00000000,0.00000000,0,0,0,0,0
12800,303,0,0,2,0.72420640,0.85830982,0.03076543,nan,0.00000000,0.00000000,0,0,0,0,0
12900,93,0,0,7,0.38958520,0.96327148,0.20076338,nan,0.00000000,0.00000000,0,0,0,0,0
13000,97,0,0,11,0.30734305,0.41772237,0.32895616,nan,0.00000000,0.00000000,0,0,0,0,0
13100,196,0,0,71,0.13300467,0.13572866,0.17049512,nan,0.00000000,0.00000000,0,0,0,0,0
13200,481,0,0,15,0.18871874,0.73789031,0.34865909,nan,0.00000000,0.00000000,0,0,0,0,0
13300,132,0,0,61,0.01137373,0.11165300,0.16888226,nan,0.00000000,0.00000000,0,0,0,0,0
13400,436,0,0,12,0.19303733,0.83271180,0.27787525,nan,0.00000000,0.00000000,0,0,0,0,0
13500,432,0,0,24,0.03941624,0.54597698,0.38524190,nan,0.00000000,0.00000000,0,0,0,0,0
13600,381,0,0,22,1.05020132,0.83694961,0.33839360,nan,0.00000000,0.00000000,0,0,0,0,0
13700,0,0,0,26,0.58672418,0.51424354,0.29079118,nan,0.00000000,0.00000000,0,0,0,0,0
13800,377,0,0,21,0.54020743,0.67837695,0.24900915,nan,0.00000000,0.00000000,0,0,0,0,0
13900,454,0,0,15,0.39641048,0.58779186,0.25206602,nan,0.00000000,0.00000000,0,0,0,0,0
14000,68,0,0,33,0.14365865,0.27054536,0.20034249,nan,0.00000000,0.00000000,0,0,0,0,0
14100,352,0,0,20,0.26267000,0.58454631,0.33144176,nan,0.00000000,0.00000000,0,0,0,0,0
