block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
148,24899,0.52103406,0.00000000,0.97831332,0.55747721,-0.01041226,1.01041226,0
149,24999,0.49965225,0.00000000,0.95016372,0.57308955,-0.05217787,1.05217787,0
150,25099,0.92517101,0.23756966,0.98899492,0.94176429,0.09908076,0.90091924,0
151,25199,0.72779246,0.26838689,0.99586608,0.73910524,0.08286436,0.91713564,0
152,25299,0.65356214,0.22379953,0.99388164,0.66491878,0.06164026,0.93835974,0
153,25399,0.64287386,0.16493996,0.99716648,0.64918977,0.01030850,0.98969150,0
154,25499,0.60670726,0.10860890,0.97425764,0.66647470,-0.00493227,1.00493227,0
155,25599,0.59316666,0.03446527,0.97991857,0.62990622,-0.01207394,1.01207394,0
156,25699,0.57928549,0.00000000,0.97356190,0.64337874,-0.01584165,1.01584165,0
157,25799,0.45604250,0.00000000,0.96785796,0.49775234,-0.03775302,1.03775302,0
158,25899,0.55464230,0.00000000,0.98161377,0.58662052,-0.02130002,1.02130002,0
159,25999,0.55728835,0.00000000,0.96907901,0.61267902,0.02542876,0.97457124,0
160,26099,0.89369949,0.20156432,0.98899715,0.92071502,0.09668645,0.90331355,0
161,26199,0.65281103,0.17605642,0.97820293,0.69099576,0.08033589,0.91966411,0
162,26299,0.60678460,0.09339168,0.98862092,0.63412476,0.04354191,0.95645809,0
163,26399,0.57816103,0.01020871,0.97718810,0.62969279,-0.02303174,1.02303174,0
164,26499,0.49440940,0.00000000,0.97494463,0.52602234,0.02515370,0.97484630,0
165,26599,0.44604275,0.00000000,0.96761977,0.48065836,0.00142448,0.99857552,0
166,26699,0.42101428,0.00000000,0.96122150,0.47334480,0.03526515,0.96473485,0
167,26799,0.45395929,0.00000000,0.98834891,0.47198185,0.04244437,0.95755563,0
168,26899,0.38854689,0.00000000,0.98379559,0.41587137,0.05948920,0.94051080,0
169,26999,0.54310966,0.00000000,0.97896104,0.58903484,-0.03736032,1.03736032,0
170,27099,0.88472523,0.20346331,0.98899178,0.91301310,0.08941458,0.91058542,0
171,27199,0.64980524,0.21871117,0.96210974,0.73115283,-0.04117414,1.04117414,0
172,27299,0.49974669,0.13566258,0.92646375,0.60309621,-0.03355917,1.03355917,0
173,27399,0.45988466,0.00000000,0.96332759,0.52238770,0.05553544,0.94446456,0
174,27499,0.47673706,0.00000000,0.98426376,0.49328036,-0.02584995,1.02584995,0
175,27599,0.51188766,0.00000000,0.94712436,0.59377296,0.01957205,0.98042795,0
176,27699,0.46492405,0.00000000,0.92131557,0.57384729,-0.06124975,1.06124975,0
177,27799,0.48980025,0.00000000,0.93413803,0.56909706,-0.01111742,1.01111742,0
178,27899,0.52861349,0.00000000,0.94099533,0.60192081,-0.00792917,1.00792917,0
179,27999,0.53712374,0.00000000,0.94488454,0.61395934,0.01052236,0.98947764,0
180,28099,0.94489670,0.30746796,0.95799937,1.04180599,0.03529628,0.96470372,0
181,28199,0.58893539,0.24860867,0.96532137,0.65481880,0.02622673,0.97377327,0
182,28299,0.49710406,0.14707976,0.93200669,0.60555280,-0.04724242,1.04724242,0
183,28399,0.44489816,0.00000000,0.94597252,0.50858777,0.02853465,0.97146535,0
184,28499,0.50577047,0.00000000,0.96208728,0.54002193,-0.04211182,1.04211182,0
185,28599,0.51660322,0.00000000,0.96265577,0.58325715,-0.01114882,1.01114882,0
186,28699,0.48486516,0.00000000,0.97331848,0.52240426,-0.01419854,1.01419854,0
187,28799,0.51813858,0.00000000,0.97585880,0.55157204,-0.00309660,1.00309660,0
188,28899,0.50074654,0.00000000,0.93012967,0.60001468,0.02305117,0.97694883,0
189,28999,0.51678655,0.00000000,0.95242336,0.58084813,-0.01137080,1.01137080,0
190,29099,0.78372491,0.15883019,0.94624077,0.88635688,0.09739656,0.90260344,0
191,29199,0.67916016,0.21020602,0.95429193,0.78241598,0.04712613,0.95287387,0
192,29299,0.70870618,0.30358591,0.92943309,0.83186702,0.06186209,0.93813791,0
193,29399,0.67734723,0.28386916,0.99276740,0.69567139,0.04298177,0.95701823,0
194,29499,0.49991290,0.11115164,0.97854911,0.52769419,-0.04394719,1.04394719,0
195,29599,0.39683005,0.00000000,0.98767751,0.41736036,-0.02790775,1.02790775,0
196,29699,0.38291402,0.00000000,0.99435340,0.39053604,-0.00518236,1.00518236,0
197,29799,0.43702884,0.00000000,0.96936623,0.47723709,0.02840581,0.97159419,0
198,29899,0.46901541,0.00000000,0.98986129,0.48182643,0.00052363,0.99947637,0
199,29999,0.53071012,0.00000000,0.98091422,0.56069518,-0.01665994,1.01665994,0
200,30099,0.81873869,0.12689503,0.99312388,0.84453045,0.14548067,0.85451933,0
201,30199,0.45982380,0.00000000,0.98416102,0.48158489,-0.04259345,1.04259345,0
202,30299,0.55218730,0.00000000,0.98495094,0.58503448,-0.00388602,1.00388602,0
203,30399,0.49419623,0.00000000,0.97245588,0.55738485,-0.01201876,1.01201876,0
204,30499,0.54764282,0.00000000,0.98561778,0.57375540,0.00080120,0.99919880,0
205,30599,0.54717675,0.00000000,0.99052701,0.56467481,0.00266165,0.99733835,0
206,30699,0.52412196,0.00000000,0.98547828,0.55334844,0.00452541,0.99547459,0
207,30799,0.60430673,0.00000000,0.98858245,0.62803926,0.00829409,0.99170591,0
208,30899,0.49425221,0.00000000,0.99754765,0.49805478,-0.03523922,1.03523922,0
209,30999,0.56220865,0.00000000,0.98103799,0.60051994,-0.01615107,1.01615107,0
210,31099,0.85190234,0.17130918,0.98893241,0.88557582,0.05528798,0.94471202,0
211,31199,0.53267076,0.01906204,0.98746582,0.55551453,-0.00692653,1.00692653,0
212,31299,0.56731895,0.00000000,0.97241542,0.61134576,-0.01177078,1.01177078,0
213,31399,0.50490462,0.00000000,0.98399996,0.52872166,-0.00201238,1.00201238,0
214,31499,0.51986293,0.00000000,0.97758154,0.55075912,-0.02436311,1.02436311,0
