step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
14659,25,0.01588663,0.70524356,0.00232623,0.00100000,13.56039775,5.00000000
14730,10,0.02435788,0.95974454,0.00949187,0.00100000,14.86601928,5.00000000
14746,9,0.04604196,0.99169812,0.00961471,0.00100000,36.42724944,5.00000000
14749,10,0.01738257,0.94399925,0.00949187,0.00100000,7.89070571,4.89070571
14756,10,0.00872350,0.98480034,0.00945345,0.00100000,-0.76836613,-3.76836613
14757,9,0.01794560,0.64079738,0.00961471,0.00100000,8.33088794,5.00000000
14821,10,0.02298208,0.87280994,0.00975768,0.00100000,13.22440624,5.00000000
14822,10,0.00904151,0.70759359,0.00972187,0.00100000,-0.71616751,-3.71616751
14825,10,0.06045733,0.79082679,0.00972187,0.00100000,50.73545854,5.00000000
14836,25,0.02134297,0.87385244,0.00981349,0.00100000,11.52948235,5.00000000
14837,10,0.02191868,1.04467561,0.00972187,0.00100000,12.19681101,5.00000000
14875,27,0.12742275,1.12874639,0.00937122,0.00100000,118.05153463,5.00000000
14878,16,0.04202653,0.81511650,0.00989881,0.00100000,32.12771356,5.00000000
14882,16,0.04257851,1.01124762,0.00989881,0.00100000,32.67969995,5.00000000
14888,27,0.12428850,0.97690950,0.00937122,0.00100000,114.91727519,5.00000000
14970,10,0.08961501,1.29866720,0.00754525,0.00100000,82.06976057,5.00000000
14976,25,0.03595488,1.27569423,0.00416606,0.00100000,31.78882046,5.00000000
14979,10,0.03513551,1.28723614,0.00754525,0.00100000,27.59026464,5.00000000
14981,25,0.00657530,1.07658102,0.00428652,0.00100000,2.40923258,-0.59076742
14987,10,0.02616325,0.82193674,0.00754525,0.00100000,18.61800333,5.00000000
15067,25,0.01596635,0.45721176,0.00652846,0.00100000,9.43789775,5.00000000
15104,25,0.04030729,0.83419886,0.00652846,0.00100000,33.77883245,5.00000000
15106,25,0.05201146,0.91114664,0.00652846,0.00100000,45.48300666,5.00000000
15108,10,0.02191130,0.98253715,0.00936131,0.00100000,12.54999250,5.00000000
15134,13,0.02275754,0.76184188,0.00944806,0.00100000,13.30948180,5.00000000
15136,13,0.02280379,0.79761954,0.00944806,0.00100000,13.35572546,5.00000000
15139,13,0.25920147,0.77323378,0.00944806,0.00100000,249.75340373,5.00000000
15143,3,0.02927045,1.03716948,0.00894016,0.00100000,20.33028900,5.00000000
15225,25,0.01204278,0.41655712,0.00832616,0.00100000,3.71662101,0.71662101
15243,25,0.01008171,0.71934541,0.00841394,0.00100000,1.75555611,-1.24444389
15246,25,0.03137071,0.76189642,0.00841394,0.00100000,22.95677655,5.00000000
15249,25,0.11727032,0.78360666,0.00841394,0.00100000,108.85638429,5.00000000
15263,25,0.02785463,1.05306643,0.00841394,0.00100000,19.44069766,5.00000000
15264,25,0.02539776,0.79711109,0.00841394,0.00100000,16.98382538,5.00000000
15276,25,0.04108233,1.20871769,0.00624786,0.00100000,34.83446974,5.00000000
15282,25,0.03967778,1.40700638,0.00624786,0.00100000,33.42991948,5.00000000
15287,25,0.02839379,1.14818151,0.00624786,0.00100000,22.14593674,5.00000000
15288,25,0.06343436,1.03074188,0.00624786,0.00100000,57.18650017,5.00000000
15320,25,0.01552811,1.04143218,0.00288433,0.00100000,12.64378019,5.00000000
15324,25,0.02285219,1.00518188,0.00288433,0.00100000,19.96786803,5.00000000
15329,31,0.03323641,0.88786973,0.00674111,0.00100000,26.49529899,5.00000000
15343,13,0.06891056,1.39586520,0.00703262,0.00100000,61.87793546,5.00000000
15374,9,0.03789821,1.00567525,0.00699454,0.00100000,30.90366403,5.00000000
15382,9,0.04220174,1.39354417,0.00699454,0.00100000,35.20719986,5.00000000
15398,9,0.07816061,1.16155851,0.00699454,0.00100000,71.16606318,5.00000000
15399,10,0.04071534,1.26085491,0.00972047,0.00100000,30.99486695,5.00000000
15418,10,0.02171467,0.81483721,0.00729094,0.00100000,14.42372444,5.00000000
15435,10,0.01780124,0.94698896,0.00729094,0.00100000,10.51029239,5.00000000
15438,19,0.12009920,0.92158635,0.00979572,0.00100000,110.30348110,5.00000000
15450,10,0.03226316,0.43873680,0.00729094,0.00100000,24.97221715,5.00000000
15493,25,0.00911764,0.57975153,0.00733984,0.00100000,1.87136803,-1.12863197
15494,25,0.01863027,0.79458516,0.00733984,0.00100000,11.29043533,5.00000000
15624,25,0.48335043,1.31557760,0.00733984,0.00100000,476.01059756,5.00000000
15629,25,0.24942393,1.15695132,0.00733984,0.00100000,242.08409039,5.00000000
15637,25,0.60459455,1.42585222,0.00733984,0.00100000,597.25470946,5.00000000
15968,40,0.05199690,1.24458468,0.00461163,0.00100000,47.38526960,5.00000000
15974,40,0.00660917,1.19181639,0.00471151,0.00100000,1.99753233,-1.00246767
15984,40,0.08114826,0.90380150,0.00471151,0.00100000,76.43675376,5.00000000
15987,40,0.10496891,1.26729414,0.00471151,0.00100000,100.25739635,5.00000000
15992,40,0.08364435,1.02514287,0.00471151,0.00100000,78.93283447,5.00000000
16047,25,0.01929967,0.57407213,0.00766835,0.00100000,11.63132099,5.00000000
16052,25,0.08285662,0.86612888,0.00766835,0.00100000,75.18826583,5.00000000
16062,25,0.01965777,0.56581951,0.00766835,0.00100000,11.98942449,5.00000000
16065,25,0.01486209,0.99210647,0.00766835,0.00100000,7.19374203,4.19374203
16099,25,0.04508175,1.17546928,0.00522857,0.00100000,39.85318044,5.00000000
16105,25,0.02202321,0.97267430,0.00522857,0.00100000,16.79463134,5.00000000
16109,25,0.01748203,0.75469534,0.00522857,0.00100000,12.25346055,5.00000000
16112,25,0.02479955,0.64538900,0.00522857,0.00100000,19.57097614,5.00000000
16120,25,0.03100972,0.77827388,0.00504500,0.00100000,25.96472058,5.00000000
16123,25,0.01832766,0.63736560,0.00504500,0.00100000,13.28265252,5.00000000
16125,25,0.04466630,0.97980723,0.00504500,0.00100000,39.62129816,5.00000000
16134,25,0.03011722,0.95226122,0.00504500,0.00100000,25.07221426,5.00000000
16152,10,0.01894454,0.58754735,0.00937930,0.00100000,9.56524005,5.00000000
16167,25,0.04122077,0.75154176,0.00759952,0.00100000,33.62125713,5.00000000
16170,10,0.02709215,0.91453279,0.00937930,0.00100000,17.71284635,5.00000000
16194,25,0.11944587,1.12280556,0.00759952,0.00100000,111.84635606,5.00000000
16336,21,0.13582885,1.42745064,0.00717287,0.00100000,128.65597929,5.00000000
16350,21,0.04504012,0.97004518,0.00717287,0.00100000,37.86724497,5.00000000
16356,21,0.33754456,1.31598503,0.00717287,0.00100000,330.37168932,5.00000000
16385,21,0.09930878,1.08191036,0.00717287,0.00100000,92.13590653,5.00000000
16468,21,0.02245389,1.18837735,0.00580646,0.00100000,16.64743316,5.00000000
16481,21,0.14183429,1.31245229,0.00580646,0.00100000,136.02782746,5.00000000
16494,21,0.02800834,1.38000217,0.00580646,0.00100000,22.20187932,5.00000000
16520,21,0.53726197,1.30705272,0.00580646,0.00100000,531.45551515,5.00000000
17197,33,0.16007682,1.08949993,0.00805078,0.00100000,152.02603966,5.00000000
17206,33,0.08277595,0.88523597,0.00805078,0.00100000,74.72517217,5.00000000
17287,16,0.21070191,1.05027399,0.00499675,0.00100000,205.70515542,5.00000000
17290,33,0.00748518,0.96807430,0.00802250,0.00100000,-0.56560509,-3.56560509
17299,33,0.17753938,1.14158206,0.00802250,0.00100000,169.51688223,5.00000000
17525,45,0.39649464,0.87913792,0.00513276,0.00100000,391.36187760,5.00000000
17530,31,0.22557128,0.85356944,0.00431452,0.00100000,221.25676130,5.00000000
17547,31,0.15417131,1.26383287,0.00431452,0.00100000,149.85678999,5.00000000
17562,31,0.41778035,1.27286474,0.00431452,0.00100000,413.46582667,5.00000000
17627,20,0.03405370,0.81995318,0.00985855,0.00100000,24.19514930,5.00000000
17664,20,0.18495452,1.39418424,0.00985855,0.00100000,175.09597663,5.00000000
17694,20,0.01378775,1.03873476,0.00985855,0.00100000,3.92919817,0.92919817
17716,20,0.18294860,1.18018056,0.00985855,0.00100000,173.09005235,5.00000000
17853,16,0.04124169,1.43390156,0.00492753,0.00100000,36.31415591,5.00000000
17861,16,0.16713355,0.98156145,0.00492753,0.00100000,162.20601654,5.00000000
17871,16,0.16633637,1.31165751,0.00492753,0.00100000,161.40883999,5.00000000
17888,16,0.01778872,0.92608474,0.00492753,0.00100000,12.86118743,5.00000000
18462,20,0.07458900,1.02586691,0.00552980,0.00100000,69.05920112,5.00000000
18505,20,0.21518496,1.16405132,0.00552980,0.00100000,209.65515650,5.00000000
18573,90,0.14602731,0.93050077,0.00974663,0.00100000,136.28067594,5.00000000
18688,20,0.00334618,1.03122016,0.00542062,0.00100000,-2.18362206,-5.00000000
18702,90,0.01991858,1.16309764,0.00974663,0.00100000,10.17195052,5.00000000
18707,20,0.30259873,0.83898612,0.00542062,0.00100000,297.17810951,5.00000000
18923,14,0.51967406,1.07608351,0.00908672,0.00100000,510.58734216,5.00000000
18963,40,0.11147953,1.09848031,0.00564240,0.00100000,105.83712938,5.00000000
18982,21,0.15207764,1.40420766,0.00929599,0.00100000,142.78165282,5.00000000
18984,40,0.31399960,1.12429554,0.00564240,0.00100000,308.35719580,5.00000000
19128,10,0.08023006,1.28173402,0.00790830,0.00100000,72.32175477,5.00000000
19133,10,0.05084785,1.13616446,0.00790830,0.00100000,42.93954952,5.00000000
19178,10,0.27434932,1.48189521,0.00790830,0.00100000,266.44102151,5.00000000
19205,10,0.06063882,1.16588943,0.00790830,0.00100000,52.73051633,5.00000000
19435,3,0.14821982,1.07636913,0.00699431,0.00100000,141.22550632,5.00000000
19442,33,0.11812687,1.33793736,0.00768071,0.00100000,110.44615633,5.00000000
19494,19,0.66102199,1.11452878,0.00813140,0.00100000,652.89059110,5.00000000
19533,33,0.14050849,1.37023907,0.00768071,0.00100000,132.82777877,5.00000000
19704,16,0.02554192,1.28993309,0.00657818,0.00100000,18.96373497,5.00000000
19705,16,0.25186978,1.03887193,0.00657818,0.00100000,245.29160349,5.00000000
19721,16,0.03962319,1.00548577,0.00657818,0.00100000,33.04500669,5.00000000
19736,16,0.07746016,1.17431485,0.00657818,0.00100000,70.88197761,5.00000000
19798,21,0.02198243,1.02832447,0.00329643,0.00100000,18.68600131,5.00000000
19815,21,0.01586736,0.84193236,0.00329643,0.00100000,12.57093235,5.00000000
19816,21,0.05983387,1.06106710,0.00329643,0.00100000,56.53744109,5.00000000
19823,21,0.01740372,1.29857550,0.00329643,0.00100000,14.10729429,5.00000000
19913,22,0.24079558,1.35424246,0.00422165,0.00100000,236.57393761,5.00000000
19953,22,0.24432858,1.32727393,0.00422165,0.00100000,240.10693866,5.00000000
20095,22,0.29004494,1.26327812,0.00422165,0.00100000,285.82329310,5.00000000
20148,22,0.14886032,1.11437265,0.00422165,0.00100000,144.63867204,5.00000000
20154,19,0.01809784,0.88426428,0.00688253,0.00100000,11.21531580,5.00000000
20176,18,0.06940508,1.01604340,0.00700974,0.00100000,62.39534269,5.00000000
20181,19,0.06538955,1.05197096,0.00688253,0.00100000,58.50701889,5.00000000
20205,2,0.28999225,0.87144304,0.00786174,0.00100000,282.13050940,5.00000000
20274,25,0.18747490,1.04949191,0.00812817,0.00100000,179.34673391,5.00000000
20275,25,0.38673517,0.72304303,0.00812817,0.00100000,378.60699871,5.00000000
20285,25,0.02207075,1.09453794,0.00812817,0.00100000,13.94258308,5.00000000
20295,25,0.01460816,0.77283733,0.00812817,0.00100000,6.47998543,3.47998543
20345,31,0.14993026,1.03954577,0.00979083,0.00100000,140.13943466,5.00000000
20347,31,0.04246568,0.86402824,0.00979083,0.00100000,32.67485094,5.00000000
20355,25,0.01624876,0.88800418,0.00534105,0.00100000,10.90771445,5.00000000
20396,25,0.05977650,1.43643835,0.00534105,0.00100000,54.43544668,5.00000000
20430,90,0.04294473,1.38751436,0.00678138,0.00100000,36.16335002,5.00000000
20480,66,0.08509048,1.07887666,0.00651647,0.00100000,78.57400852,5.00000000
20537,66,0.04117503,0.92796263,0.00651647,0.00100000,34.65855675,5.00000000
20602,66,0.03334762,1.26580395,0.00651647,0.00100000,26.83115028,5.00000000
20677,20,0.01187644,1.01540987,0.00363693,0.00100000,8.23950774,5.00000000
20688,20,0.01682725,1.42392625,0.00363693,0.00100000,13.19032017,5.00000000
20756,20,0.01966061,1.12778273,0.00363693,0.00100000,16.02368505,5.00000000
20761,20,0.16204862,1.04892414,0.00363693,0.00100000,158.41169471,5.00000000
20819,40,0.03589381,0.85666743,0.00636235,0.00100000,29.53145748,5.00000000
20881,40,0.20843600,1.24815670,0.00636235,0.00100000,202.07365076,5.00000000
20901,40,0.01889761,1.16127848,0.00636235,0.00100000,12.53526404,5.00000000
20936,40,0.11153668,1.22537617,0.00636235,0.00100000,105.17432763,5.00000000
20991,37,0.04171327,1.26724969,0.00829745,0.00100000,33.41582041,5.00000000
21004,37,1.93013321,1.38694519,0.00829745,0.00100000,1921.83576559,5.00000000
21012,37,0.23014895,1.16172967,0.00829745,0.00100000,221.85149778,5.00000000
21066,37,0.23769898,1.32716483,0.00829745,0.00100000,229.40153303,5.00000000
21216,18,0.86308107,1.41249858,0.00982626,0.00100000,853.25480555,5.00000000
21352,18,0.03920224,1.11070657,0.00982626,0.00100000,29.37597868,5.00000000
21539,40,0.03525894,1.16165238,0.00434254,0.00100000,30.91639702,5.00000000
21579,40,0.03654281,0.86138857,0.00434254,0.00100000,32.20026745,5.00000000
21601,37,0.10068262,1.12898591,0.00709129,0.00100000,93.59132401,5.00000000
21608,37,0.05627570,1.10680451,0.00709129,0.00100000,49.18441096,5.00000000
21609,47,0.04313932,0.95233650,0.00725394,0.00100000,35.88537946,5.00000000
21639,37,0.04983926,1.10475318,0.00709129,0.00100000,42.74796452,5.00000000
21987,35,0.12184573,0.93540668,0.00986711,0.00100000,111.97862507,5.00000000
21994,45,0.02144011,0.84589733,0.00900790,0.00100000,12.43220887,5.00000000
22012,45,0.12426219,1.31710659,0.00900790,0.00100000,115.25428909,5.00000000
22040,35,0.24846632,1.26735593,0.00986711,0.00100000,238.59921622,5.00000000
22125,10,0.23715965,1.06274187,0.00580245,0.00100000,231.35720834,5.00000000
22138,10,0.04127320,1.03743688,0.00580245,0.00100000,35.47075584,5.00000000
22142,10,0.01373861,0.84825352,0.00580245,0.00100000,7.93616731,4.93616731
22143,10,0.13958575,1.13508263,0.00580245,0.00100000,133.78330059,5.00000000
22160,10,0.05646519,0.99435432,0.00596849,0.00100000,50.49669435,5.00000000
22162,10,0.07231647,1.06218702,0.00596849,0.00100000,66.34797489,5.00000000
22172,10,0.14253019,0.97078643,0.00596849,0.00100000,136.56169983,5.00000000
22176,10,0.16004590,1.04491536,0.00596849,0.00100000,154.07740787,5.00000000
22264,10,0.00370410,0.89822073,0.00880059,0.00116921,-5.36472081,-5.00000000
22265,10,0.04627340,0.80981649,0.00880059,0.00116921,32.04958063,5.00000000
22267,10,0.08805599,1.13303024,0.00880059,0.00116921,67.78520958,5.00000000
22299,10,0.00998908,0.94732023,0.00886001,0.00116868,1.01648641,-1.98351359
22308,10,0.05407176,0.86107662,0.00886001,0.00116868,38.68632065,5.00000000
22311,13,0.16495465,0.96879764,0.00983230,0.00100000,155.12234858,5.00000000
22326,3,0.01950469,1.10640862,0.00878194,0.00100000,10.72274498,5.00000000
