step,detector_epoch,fast_slow_gap,fast_wins,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
4000,0,0.00000000,0,0,0.00000000,0,5999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5999,-43.96058273,-43.96058273,1.06746197,1.06746197,0.00189993,0.00189993,44.16510010
4100,0,0.00000000,0,0,0.00000000,0,5899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5899,-32.30777740,-32.30777740,2.97571516,2.97571516,0.09743546,0.09743546,33.45080900
4200,0,0.00000000,0,0,0.00000000,0,5799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5799,-32.61667633,-32.61667633,3.76664233,3.76664233,0.09579781,0.09579781,33.44620972
4300,0,0.00000000,0,0,0.00000000,0,5699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5699,-25.62215805,-25.62215805,7.87095833,7.87095833,0.12501828,0.12501828,25.24567986
4400,0,0.00000000,0,0,0.00000000,0,5599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5599,-28.81212616,-28.81212616,31.62741089,31.62741089,0.28954145,0.28954145,29.38638369
4500,0,0.00000000,0,0,0.00000000,0,5499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5499,-28.39356995,-28.39356995,27.52136612,27.52136612,0.23118788,0.23118788,29.61352158
4600,0,0.00000000,0,0,0.00000000,0,5399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5399,-25.86049652,-25.86049652,22.63973999,22.63973999,0.28819168,0.28819168,26.48170471
4700,0,0.00000000,0,0,0.00000000,0,5299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5299,-30.60943222,-30.60943222,33.95003891,33.95003891,0.27058855,0.27058855,30.11434364
4800,0,0.00000000,0,0,0.00000000,0,5199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5199,-30.06546402,-30.06546402,11.43051815,11.43051815,0.12943617,0.12943617,30.48216915
4900,0,0.00000000,0,0,0.00000000,0,5099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,5099,-26.79154778,-26.79154778,28.61453629,28.61453629,0.35550091,0.35550091,26.98989550
5000,0,0.00000000,0,0,0.00000000,0,4999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4999,-72.65962982,-72.65962982,1.12804031,1.12804031,0.00495603,0.00495603,72.11140823
5100,0,0.00000000,0,0,0.00000000,0,4899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4899,-29.38390923,-29.38390923,12.39727497,12.39727497,0.17546354,0.17546354,30.47228575
5200,0,0.00000000,0,0,0.00000000,0,4799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4799,-25.46759033,-25.46759033,13.75768566,13.75768566,0.15638247,0.15638247,26.16127014
5300,0,0.00000000,0,0,0.00000000,0,4699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4699,-25.01113510,-25.01113510,4.76016569,4.76016569,0.11271384,0.11271384,24.97746515
5400,0,0.00000000,0,0,0.00000000,0,4599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4599,-32.00520325,-32.00520325,35.43708801,35.43708801,0.32545263,0.32545263,37.84123001
5500,0,0.00000000,0,0,0.00000000,0,4499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4499,-24.91687393,-24.91687393,16.18575859,16.18575859,0.24314734,0.24314734,24.86262608
5600,0,0.00000000,0,0,0.00000000,0,4399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4399,-24.35082626,-24.35082626,11.63358307,11.63358307,0.17207898,0.17207898,24.70215607
5700,0,0.00000000,0,0,0.00000000,0,4299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4299,-29.31384277,-29.31384277,7.22953796,7.22953796,0.10256974,0.10256974,31.14494324
5800,0,0.00000000,0,0,0.00000000,0,4199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4199,-25.90589905,-25.90589905,50.13795090,50.13795090,0.53607124,0.53607124,30.68417587
5900,0,0.00000000,0,0,0.00000000,0,4099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,4099,-29.73558617,-29.73558617,4.37444067,4.37444067,0.07244030,0.07244030,30.25450096
6000,0,0.00000000,0,0,0.00000000,0,3999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3999,-68.03416443,-68.03416443,1.10373008,1.10373008,0.00276748,0.00276748,69.17055766
6100,0,0.00000000,0,0,0.00000000,0,3899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3899,-26.76099014,-26.76099014,14.61567879,14.61567879,0.11240228,0.11240228,27.51220830
6200,0,0.00000000,0,0,0.00000000,0,3799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3799,-33.86948013,-33.86948013,39.55083847,39.55083847,0.33790717,0.33790717,36.37770081
6300,0,0.00000000,0,0,0.00000000,0,3699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3699,-25.62973022,-25.62973022,19.48681259,19.48681259,0.18575232,0.18575232,25.63512611
6400,0,0.00000000,0,0,0.00000000,0,3599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3599,-24.57791710,-24.57791710,15.03667068,15.03667068,0.10980280,0.10980280,24.31323624
6500,0,0.00000000,0,0,0.00000000,0,3499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3499,-28.68484306,-28.68484306,49.71832657,49.71832657,0.40195793,0.40195793,29.53250885
6600,0,0.00000000,0,0,0.00000000,0,3399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3399,-25.74131012,-25.74131012,31.37122917,31.37122917,0.19492452,0.19492452,26.10730871
6700,0,0.00000000,0,0,0.00000000,0,3299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3299,-33.08529663,-33.08529663,14.48413467,14.48413467,0.16131338,0.16131338,34.37831593
6800,0,0.00000000,0,0,0.00000000,0,3199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3199,-27.55072784,-27.55072784,12.42956829,12.42956829,0.16569866,0.16569866,28.45922327
6900,0,0.00000000,0,0,0.00000000,0,3099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,3099,-23.75429535,-23.75429535,19.57448578,19.57448578,0.12382928,0.12382928,23.61865187
7000,0,0.00000000,0,0,0.00000000,0,2999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2999,-58.61491776,-58.61491776,1.14363885,1.14363885,0.00484364,0.00484364,58.13395309
7100,0,0.00000000,0,0,0.00000000,0,2899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2899,-31.02234077,-31.02234077,33.51403809,33.51403809,0.32894972,0.32894972,34.26685715
7200,0,0.00000000,0,0,0.00000000,0,2799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2799,-28.32686615,-28.32686615,45.39245224,45.39245224,0.28307974,0.28307974,nan
7300,0,0.00000000,0,0,0.00000000,0,2699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2699,-25.32225990,-25.32225990,47.87274170,47.87274170,0.29972491,0.29972491,25.37033017
