step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
48516,4396,0.11079904,0.75050007,0.00185863,0.00100000,108.94041389,5.00000000
48544,4364,0.07389248,0.94125702,0.00645637,0.00100000,67.43611268,5.00000000
48687,4396,0.01938221,0.68984783,0.00803081,0.00100000,11.35140003,5.00000000
48692,6924,0.01599961,0.74782943,0.00832052,0.00100000,7.67909585,4.67909585
48718,3289,0.03159589,0.79931639,0.00861386,0.00100000,22.98203143,5.00000000
48723,8153,0.05464351,0.57387483,0.00533880,0.00100000,49.30471020,5.00000000
48944,7901,0.00996687,0.76892000,0.00473319,0.00100000,5.23368393,2.23368393
49023,193,0.01838664,0.29394567,0.00811184,0.00100000,10.27480430,5.00000000
49138,7389,0.00708165,0.79643909,0.00441546,0.00100000,2.80652260,-0.19347740
49155,4876,0.01698823,0.87843393,0.00289974,0.00100000,14.08849214,5.00000000
49272,7385,0.07579704,0.94267575,0.00760796,0.00100000,68.18908725,5.00000000
49345,8177,0.10220943,0.79861796,0.00872190,0.00100000,93.48753733,5.00000000
49352,7773,0.01387204,0.85946345,0.00886262,0.00100000,5.00941825,2.00941825
49386,8177,0.02353637,0.97026870,0.00872190,0.00100000,14.81446947,5.00000000
49389,8153,0.10647669,0.93336858,0.00307035,0.00100000,103.40633922,5.00000000
49456,4109,0.06824063,1.02672234,0.00727883,0.00100000,60.96179271,5.00000000
49514,8185,0.03656560,0.83805757,0.00887240,0.00100000,27.69320184,5.00000000
49516,4109,0.07797397,1.08428864,0.00727883,0.00100000,70.69514176,5.00000000
49526,7897,0.01484654,0.86563941,0.00929665,0.00100000,5.54988701,2.54988701
49565,4399,0.01765703,0.84220612,0.00952740,0.00100000,8.12962194,5.00000000
49675,7889,0.05291322,0.77718647,0.00834797,0.00100000,44.56524945,5.00000000
49707,7889,0.02310406,0.96857683,0.00834797,0.00100000,14.75609594,5.00000000
49719,7897,0.05911616,0.76073576,0.00354403,0.00100000,55.57213252,5.00000000
49844,7901,0.14655689,0.94312391,0.00929387,0.00100000,137.26302213,5.00000000
49857,7901,0.04882295,1.00611531,0.00929387,0.00100000,39.52908263,5.00000000
49917,7897,0.01879021,0.68786599,0.00727368,0.00100000,11.51653603,5.00000000
49921,3801,0.01570253,0.82349356,0.00947276,0.00100000,6.22976943,3.22976943
50325,4910,0.58423170,1.09847319,0.00611012,0.00100000,578.12158205,5.00000000
50462,4910,0.06846236,1.40942029,0.00611012,0.00100000,62.35224545,5.00000000
50851,4910,0.03898987,1.46625205,0.00611012,0.00100000,32.87975427,5.00000000
50860,4910,0.06116360,1.11618371,0.00611012,0.00100000,55.05348823,5.00000000
