step,e_P,e_R,e_P_bar,e_R_bar,D_t,c_t,regime_change
177000,0.11434292,0.04627072,-0.77133019,-0.55701521,0.00000000,0.04511224,0
178000,0.21877410,0.00009518,-0.14085624,-0.87918213,0.00000000,0.00431993,0
179000,0.27535382,0.06714510,0.20244052,-0.40999790,0.02049108,0.00177089,0
180000,0.18708284,0.08570854,-0.33165775,-0.27924032,0.00000000,0.05644302,0
181000,0.21496680,0.03019472,-0.16209479,-0.66838628,0.00000000,0.03040770,0
182000,0.16846304,0.03070676,-0.44408536,-0.66457489,0.00000000,0.01596734,0
183000,0.21110035,0.05696335,-0.18372573,-0.47884331,0.00000000,0.02347462,0
184000,0.21031657,0.05794235,-0.18704786,-0.47094853,0.00000000,0.00334181,0
185000,0.54894769,0.78637320,1.88200568,4.68346677,12.73840317,0.32287746,0
186000,0.21813411,0.09692433,-0.13709854,-0.19306635,0.00000000,0.00128414,0
187000,0.15198155,0.07448732,-0.54078006,-0.35079914,0.00000000,0.01197176,0
188000,0.18444785,0.13485846,-0.34095750,0.07960544,0.00316851,0.01030723,0
189000,0.17424354,0.15274088,-0.40248189,0.20908217,0.02185768,0.00986401,0
190000,0.18603097,0.16104953,-0.32926281,0.27049463,0.03658367,0.00891775,0
191000,0.19789243,0.27948833,-0.25576968,1.11940712,0.62653615,0.06623602,0
192000,0.16881855,0.31575608,-0.43478109,1.38289095,0.95619370,0.06163310,0
193000,0.21517983,0.22751065,-0.14766299,0.75369206,0.28402586,0.07814356,0
194000,0.13511263,0.15529290,-0.64267507,0.23736744,0.02817165,0.03167905,0
195000,0.24414723,0.11723721,0.03249047,-0.03473749,0.00052782,0.03522704,0
196000,0.24454831,0.05696407,0.03587350,-0.46794677,0.00064345,0.00302100,0
197000,0.18845482,0.04025857,-0.31077061,-0.58723355,0.00000000,0.05404668,0
198000,0.16508931,0.04999661,-0.45427606,-0.51540411,0.00000000,0.00475670,0
199000,0.19452848,0.18186867,-0.26988310,0.44201115,0.09768693,0.00051863,0
200000,0.19201487,0.06398635,-0.28420880,-0.41107557,0.00000000,0.03130556,0
201000,0.18575011,0.02347035,-0.32211673,-0.70446419,0.00000000,0.05145527,0
202000,0.20423038,0.22056976,-0.20588261,0.73246570,0.26825300,0.01092334,0
203000,0.17007972,0.05486390,-0.41863128,-0.47376211,0.00000000,0.00479576,0
204000,0.21793403,0.15540721,-0.11765580,0.26235740,0.03441570,0.02711893,0
205000,0.18480211,0.02308388,-0.32440968,-0.70438425,0.00000000,0.01441087,0
206000,0.19613315,0.03192670,-0.25233939,-0.63897314,0.00000000,0.01077541,0
207000,0.17610079,0.08274900,-0.37706068,-0.26484854,0.00000000,0.00022551,0
208000,0.17979410,0.18661165,-0.35254724,0.50098008,0.12549052,0.00120393,0
209000,0.19089535,0.06075166,-0.28130437,-0.42426727,0.00000000,0.02189872,0
210000,0.18641590,0.07337537,-0.30807247,-0.32991041,0.00000000,0.00114266,0
211000,0.17410946,0.00195129,-0.38436914,-0.85690267,0.00000000,0.00166063,0
212000,0.12487248,0.09939568,-0.69458968,-0.13452578,0.00000000,0.00010845,0
213000,0.26244470,0.03795618,0.17870673,-0.58872701,0.01596805,0.01341978,0
214000,0.19737037,0.08166559,-0.23231144,-0.26290677,0.00000000,0.00001589,0
215000,0.24440879,0.09390997,0.06799630,-0.17046683,0.00231175,0.02616091,0
216000,0.19597846,0.03845019,-0.23754290,-0.58218208,0.00000000,0.00230536,0
217000,0.24039300,0.03205497,0.04673514,-0.62880449,0.00109209,0.01883958,0
218000,0.15690166,0.09317274,-0.48385636,-0.17097147,0.00000000,0.01634155,0
219000,0.37728420,0.00478757,0.92274230,-0.83147041,0.42572668,0.00514416,0
220000,0.15109858,0.13429600,-0.51930950,0.14077473,0.00990876,0.00653783,0
221000,0.31908813,0.08385368,0.55587908,-0.23596035,0.15450077,0.01509091,0
222000,0.39497188,0.17696677,1.04434311,0.46649071,0.65413305,0.00097382,0
223000,0.33120966,0.14421852,0.63901171,0.22234464,0.22888655,0.00095198,0
224000,0.17353454,0.12811351,-0.36952749,0.10285302,0.00528937,0.03786085,0
225000,0.18985246,0.06814015,-0.26338758,-0.34845686,0.00000000,0.00122755,0
226000,0.12632832,0.17179827,-0.66992074,0.43767794,0.09578099,0.00099396,0
227000,0.15676068,0.14669004,-0.47315115,0.24991502,0.03122876,0.00069112,0
228000,0.11891954,0.19646370,-0.71508663,0.63025289,0.19860935,0.00418390,0
229000,0.21452415,0.23614520,-0.09815879,0.93484097,0.43696382,0.14087836,0
230000,0.09136686,0.04357191,-0.89090014,-0.52835149,0.00000000,0.00908385,0
231000,0.12444760,0.04645794,-0.67626473,-0.50507587,0.00000000,0.00519346,0
232000,0.17444566,0.03379325,-0.35153039,-0.60041705,0.00000000,0.00125583,0
233000,0.13394056,0.07459396,-0.61163724,-0.28711647,0.00000000,0.00004983,0
234000,0.18880838,0.04353787,-0.25505202,-0.52334493,0.00000000,0.00064104,0
235000,0.15592483,0.12415199,-0.46646744,0.09642223,0.00464862,0.00038767,0
236000,0.09539194,0.05257610,-0.85879649,-0.45209148,0.00000000,0.00394548,0
237000,0.28035110,0.07233425,0.34068378,-0.29979352,0.05803272,0.03104007,0
238000,0.72344172,0.60829258,3.21732977,3.82476572,12.49002183,0.39916053,0
239000,0.12605461,0.03067576,-0.66411707,-0.62071433,0.00000000,0.00269174,0
240000,0.34202591,0.37048966,0.73978025,2.00027197,2.27418140,0.28776860,0
241000,0.17044906,0.00334123,-0.37666360,-0.83187539,0.00000000,0.00110664,0
242000,0.18965250,0.00869078,-0.25087586,-0.78970260,0.00000000,0.00025505,0
243000,0.19256236,0.05983635,-0.23259863,-0.39377476,0.00000000,0.39474766,0
244000,0.19161783,0.11760771,-0.23842553,0.05538347,0.00153366,0.00005303,0
245000,0.15612493,0.14423679,-0.47006698,0.26422162,0.03490653,0.00001024,0
246000,0.14539653,0.06824131,-0.53994741,-0.32459609,0.00000000,0.00007445,0
247000,0.19862548,0.10565700,-0.19007001,-0.03181392,0.00000000,0.00004929,0
248000,0.19517934,0.14378150,-0.21130383,0.26748425,0.03577391,0.00000000,0
249000,0.15013804,0.15780500,-0.50583141,0.37933979,0.07194934,0.00000026,0
250000,0.11655718,0.20986009,-0.72495688,0.78893661,0.31121049,0.00000232,0
251000,0.12628229,0.13922361,-0.65925960,0.23895958,0.02855084,0.00000008,0
252000,0.10475984,0.03935794,-0.79974764,-0.54164191,0.00000000,0.00130872,0
253000,0.13555181,0.02660459,-0.59510045,-0.64040594,0.00000000,0.00000497,0
254000,0.16520570,0.21583608,-0.39763438,0.84837676,0.35987156,0.00724147,0
255000,0.16275054,0.06804083,-0.41223761,-0.31191551,0.00000000,0.00005060,0
256000,0.16019361,0.07934460,-0.42778327,-0.22132998,0.00000000,0.00135315,0
257000,0.16815278,0.02992760,-0.37361393,-0.60973974,0.00000000,0.00002645,0
258000,0.23530358,0.06173721,0.07162733,-0.35792558,0.00256524,0.02244318,0
259000,0.20329492,0.03688984,-0.13989996,-0.55336220,0.00000000,0.00046231,0
260000,0.15491022,0.12907803,-0.46000469,0.17833030,0.01590085,0.00059960,0
261000,0.17348959,0.06283460,-0.33505854,-0.34504533,0.00000000,0.00000084,0
262000,0.25149235,0.08160232,0.18585352,-0.19449512,0.01727076,0.00000002,0
263000,0.14086623,0.10369698,-0.54991428,-0.01734486,0.00000000,0.00020566,0
264000,0.15231875,0.04097230,-0.47204366,-0.51505168,0.00000000,0.00000252,0
265000,0.22251022,0.17754291,-0.00222552,0.57524157,0.16545143,0.00881264,0
266000,0.15440542,0.01834353,-0.45571664,-0.69340274,0.00000000,0.00099281,0
267000,0.14741142,0.00347635,-0.50148216,-0.81146219,0.00000000,0.00037455,0
268000,0.19703196,0.00615760,-0.16762419,-0.78901796,0.00000000,0.02364336,0
269000,0.14727084,0.02989972,-0.49984442,-0.59792879,0.00000000,0.01274574,0
270000,0.17784916,0.06181479,-0.29394357,-0.34090756,0.00000000,0.00195093,0
271000,0.15774064,0.02737440,-0.42782397,-0.61650585,0.00000000,0.03571218,0
272000,0.18766257,0.01408851,-0.22574991,-0.72250412,0.00000000,0.00573885,0
273000,0.09531634,0.02964780,-0.84541220,-0.59619772,0.00000000,0.00109428,0
274000,0.08814272,0.02010161,-0.89263594,-0.67205747,0.00000000,0.00000046,0
275000,0.14393307,0.13018441,-0.51580806,0.21801468,0.02376520,0.00581389,0
276000,0.11261083,0.03993290,-0.72575440,-0.50959140,0.00000000,0.00120850,0
277000,0.10766172,0.03353725,-0.75787851,-0.56006909,0.00000000,0.00101656,0
278000,0.14992040,0.06125290,-0.47100109,-0.33416839,0.00000000,0.00000004,0
279000,0.11936215,0.08349755,-0.67577363,-0.15211713,0.00000000,0.00166617,0
280000,0.15232655,0.03922576,-0.45137730,-0.51017463,0.00000000,0.00855706,0
281000,0.11536241,0.07564235,-0.70020800,-0.21270674,0.00000000,0.00017020,0
282000,0.11056371,0.18595476,-0.73109388,0.68733608,0.23621544,0.00317131,0
283000,0.15306756,0.11403266,-0.44185752,0.10360349,0.00536684,0.00009447,0
284000,0.12387018,0.08051357,-0.63911871,-0.16808366,0.00000000,0.00030438,0
285000,0.31044585,0.18023859,0.62901000,0.64848851,0.40809547,0.00463507,0
286000,0.43998802,0.25989538,1.51159001,1.30274167,1.99102010,0.00126652,0
287000,0.16508974,0.04008893,-0.35550931,-0.49448250,0.00000000,0.00028219,0
288000,0.22297683,0.01185719,0.04020394,-0.72474741,0.00080818,0.00000001,0
289000,0.14956929,0.16173682,-0.45811952,0.50682957,0.12843811,0.00064910,0
290000,0.13226438,0.11609615,-0.57508888,0.13391575,0.00896671,0.00018709,0
291000,0.12230232,0.04549692,-0.64209643,-0.44533980,0.00000000,0.00779678,0
292000,0.09595870,0.06370009,-0.82105601,-0.29418571,0.00000000,0.00001884,0
293000,0.12435035,0.03948721,-0.62609507,-0.49253831,0.00000000,0.00484098,0
294000,0.14908341,0.18853715,-0.45594154,0.73962366,0.27352158,0.00002746,0
295000,0.14129539,0.08870799,-0.50822931,-0.08332052,0.00000000,0.00002344,0
296000,0.45251492,0.13689747,1.62336096,0.31619003,1.36763847,0.39516840,0
297000,0.16688769,0.18077120,-0.33240370,0.68168233,0.23234540,0.01850093,0
