step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
5200,0.00000000,0,0.00000000,0.21201532,0.00000000,0.00000000,0,0,0.10544036,0.02235497,-23.75188255,-23.75188255,19.12124252,19.12124252,0.10544036,0.10544036,4799,0,24.71799850
5300,0.00000000,0,0.00000000,0.28716009,0.00000000,0.00000000,0,0,0.07893109,0.02266586,-23.89059830,-23.89059830,6.29215670,6.29215670,0.07893109,0.07893109,4699,0,23.89966726
5400,0.00000000,0,0.00000000,0.09643488,0.00000000,0.00000000,0,0,0.23839110,0.02298922,-31.36469650,-31.36469650,42.31727600,42.31727600,0.23839110,0.23839110,4599,0,39.49256897
5500,0.00000000,0,0.00000000,0.13311796,0.00000000,0.00000000,0,0,0.17551178,0.02336377,-24.17032623,-24.17032623,27.15727997,27.15727997,0.17551178,0.17551178,4499,0,24.08063507
5600,0.00000000,0,0.00000000,0.17961246,0.00000000,0.00000000,0,0,0.13263215,0.02382239,-23.50761032,-23.50761032,18.09675026,18.09675026,0.13263215,0.13263215,4399,0,23.66441154
5700,0.00000000,0,0.00000000,0.34271890,0.00000000,0.00000000,0,0,0.07083840,0.02427766,-28.26051712,-28.26051712,10.40417290,10.40417290,0.07083840,0.07083840,4299,0,29.46596909
5800,0.00000000,0,0.00000000,0.06981105,0.00000000,0.00000000,0,0,0.35410362,0.02472035,-24.65385056,-24.65385056,50.07028198,50.07028198,0.35410362,0.35410362,4199,0,29.41887856
5900,0.00000000,0,0.00000000,0.43383664,0.00000000,0.00000000,0,0,0.05807205,0.02519378,-27.39341354,-27.39341354,6.18890285,6.18890285,0.05807205,0.05807205,4099,0,27.59397736
6000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00253442,0.02564553,-63.58429337,-63.58429337,1.12771344,1.12771344,0.00253442,0.00253442,3999,0,64.86112722
6100,0.00000000,0,0.00000000,0.35780870,0.00000000,0.00000000,0,0,0.07242931,0.02591584,-25.34313583,-25.34313583,15.41093826,15.41093826,0.07242931,0.07242931,3899,0,25.59930929
6200,0.00000000,0,0.00000000,0.11956413,0.00000000,0.00000000,0,0,0.21908879,0.02619516,-33.28640747,-33.28640747,45.01724243,45.01724243,0.21908879,0.21908879,3799,0,35.93970362
6300,0.00000000,0,0.00000000,0.22217227,0.00000000,0.00000000,0,0,0.11981551,0.02661968,-24.99089622,-24.99089622,26.59754753,26.59754753,0.11981551,0.11981551,3699,0,25.14069605
6400,0.00000000,0,0.00000000,0.35948433,0.00000000,0.00000000,0,0,0.07531450,0.02707438,-23.55649948,-23.55649948,22.04956818,22.04956818,0.07531450,0.07531450,3599,0,23.15202332
6500,0.00000000,0,0.00000000,0.11216056,0.00000000,0.00000000,0,0,0.24533762,0.02751721,-27.05904770,-27.05904770,49.92289734,49.92289734,0.24533762,0.24533762,3499,0,27.51241684
6600,0.00000000,0,0.00000000,0.23644933,0.00000000,0.00000000,0,0,0.11823405,0.02795636,-23.58678627,-23.58678627,37.44817734,37.44817734,0.11823405,0.11823405,3399,0,23.97804387
6700,0.00000000,0,0.00000000,0.27354911,0.00000000,0.00000000,0,0,0.10388763,0.02841837,-31.21686363,-31.21686363,20.86465454,20.86465454,0.10388763,0.10388763,3299,0,32.12329721
6800,0.00000000,0,0.00000000,0.22604490,0.00000000,0.00000000,0,0,0.12765616,0.02885602,-26.28031731,-26.28031731,17.14989662,17.14989662,0.12765616,0.12765616,3199,0,26.81864119
6900,0.00000000,0,0.00000000,0.38014506,0.00000000,0.00000000,0,0,0.07705286,0.02929126,-22.74580574,-22.74580574,25.70089912,25.70089912,0.07705286,0.07705286,3099,0,22.65856028
7000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00414219,0.02973126,-55.33358002,-55.33358002,1.14447379,1.14447379,0.00414219,0.00414219,2999,0,55.48107910
7100,0.00000000,0,0.00000000,0.14304726,0.00000000,0.00000000,0,0,0.21007839,0.03005114,-29.44667053,-29.44667053,35.44622421,35.44622421,0.21007839,0.21007839,2899,0,31.26579158
7200,0.00000000,0,0.00000000,0.16801449,0.00000000,0.00000000,0,0,0.18142724,0.03048241,-25.89640236,-25.89640236,47.13315201,47.13315201,0.18142724,0.18142724,2799,0,nan
7300,0.00000000,0,0.00000000,0.16689884,0.00000000,0.00000000,0,0,0.18502033,0.03087968,-23.69444466,-23.69444466,48.11170197,48.11170197,0.18502033,0.18502033,2699,0,23.85321554
7400,0.00000000,0,0.00000000,0.13858401,0.00000000,0.00000000,0,0,0.22589439,0.03130535,-22.71670151,-22.71670151,49.81661224,49.81661224,0.22589439,0.22589439,2599,0,26.70700979
7500,0.00000000,0,0.00000000,0.19963179,0.00000000,0.00000000,0,0,0.15910369,0.03176215,-25.07378769,-25.07378769,42.35407639,42.35407639,0.15910369,0.15910369,2499,0,25.86785841
7600,0.00000000,0,0.00000000,0.17757239,0.00000000,0.00000000,0,0,0.18116185,0.03216934,-25.44142532,-25.44142532,43.80458832,43.80458832,0.18116185,0.18116185,2399,0,26.41972961
7700,0.00000000,0,0.00000000,0.27072576,0.00000000,0.00000000,0,0,0.12047342,0.03261526,-24.62150002,-24.62150002,29.99460793,29.99460793,0.12047342,0.12047342,2299,0,nan
7800,0.00000000,0,0.00000000,0.19917082,0.00000000,0.00000000,0,0,0.16593677,0.03304976,-24.54168701,-24.54168701,33.48589325,33.48589325,0.16593677,0.16593677,2199,0,23.68195629
7900,0.00000000,0,0.00000000,0.18753408,0.00000000,0.00000000,0,0,0.17846076,0.03346748,-23.05067444,-23.05067444,34.71633530,34.71633530,0.17846076,0.17846076,2099,0,23.45045614
8000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00455098,0.03384001,-73.05868530,-73.05868530,1.17914140,1.17914140,0.00455098,0.00455098,1999,0,75.55507151
8100,0.00000000,0,0.00000000,0.57984900,0.00000000,0.00000000,0,0,0.05877453,0.03408035,-26.33443832,-26.33443832,15.52273750,15.52273750,0.05877453,0.05877453,1899,0,26.57466650
8200,0.00000000,0,0.00000000,0.11706178,0.00000000,0.00000000,0,0,0.29394564,0.03440980,-25.23816681,-25.23816681,49.41574478,49.41574478,0.29394564,0.29394564,1799,0,37.75118351
8300,0.00000000,0,0.00000000,0.40743558,0.00000000,0.00000000,0,0,0.08545241,0.03481635,-21.33678436,-21.33678436,17.26653290,17.26653290,0.08545241,0.08545241,1699,0,21.61152331
8400,0.00000000,0,0.00000000,0.38326566,0.00000000,0.00000000,0,0,0.09194160,0.03523806,-23.47888565,-23.47888565,27.92955589,27.92955589,0.09194160,0.09194160,1599,0,23.18772554
8500,0.00000000,0,0.00000000,0.19317077,0.00000000,0.00000000,0,0,0.18430978,0.03560326,-24.31320953,-24.31320953,45.02374649,45.02374649,0.18430978,0.18430978,1499,0,27.36234919
8600,0.00000000,0,0.00000000,0.48772043,0.00000000,0.00000000,0,0,0.07380560,0.03599650,-24.99081993,-24.99081993,17.18410301,17.18410301,0.07380560,0.07380560,1399,0,25.05251455
8700,0.00000000,0,0.00000000,0.74526746,0.00000000,0.00000000,0,0,0.04878929,0.03636107,-25.77158737,-25.77158737,9.16561031,9.16561031,0.04878929,0.04878929,1299,0,26.34940290
